Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,305.893982,312.761017,310.815002,312.799011,308.640991,309.595001,305.817993,305.893982,304.407013
0.02,307.572998,314.325012,312.189026,314.859009,310.472015,311.46402,308.031006,308.106995,306.389984
0.04,309.098999,316.347015,313.562012,317.223999,312.417999,312.799011,310.281006,310.281006,308.335999
0.06,310.739014,318.597992,315.317017,319.627991,314.249023,315.088013,312.151001,311.807007,310.281006
0.08,312.341003,320.313995,317.644012,321.42099,315.964996,317.261993,312.952026,313.06601,312.341003
0.1,313.981995,322.488983,320.046997,323.213013,317.949005,319.360992,314.59201,314.440002,313.944
0.12,315.964996,324.815979,322.450989,325.349976,319.742004,320.885986,316.231995,316.041992,316.041992
0.14,318.178009,327.143005,324.281982,328.210999,321.572998,322.832001,318.483002,318.94101,319.016998
0.16,320.084991,329.317017,326.417999,330.614014,324.167023,325.540985,321.458984,322.832001,321.916016
0.18,322.031006,331.796997,328.973999,333.742004,327.257019,328.363007,324.930023,326.761017,325.044983
0.2,323.976013,334.046997,331.071991,335.839996,329.889008,331.492004,328.13501,329.317017,328.402008
0.22,325.884003,335.992981,333.398987,337.251984,332.178009,334.695984,330.195007,331.492004,331.338989
0.24,327.868011,337.900024,335.802002,338.930023,334.161987,337.02298,332.178009,333.703979,334.238007
0.26,330.003998,339.884003,338.129028,340.990021,335.725983,338.586975,334.619995,335.496979,337.060974
0.28,332.063995,341.714996,339.426025,343.165009,337.556976,340.837982,336.908997,338.319977,339.769989
0.3,334.161987,343.699005,341.714996,345.376984,339.426025,343.011993,339.960022,342.402008,342.936005
0.32,335.687988,345.225006,343.661011,347.475006,342.325989,345.605988,343.240997,346.292999,346.026001
0.34,337.327972,347.131989,345.14801,349.191986,344.766998,348.695984,345.759003,349.078003,349.382996
0.36,339.121002,348.237976,347.208008,349.802002,346.484009,351.595001,348.277008,350.984985,352.167999
0.38,340.494019,349.612,348.544006,351.138,347.932983,353.617004,350.108002,352.701996,354.990997
0.4,342.097015,351.251984,349.687988,352.625,348.886993,355.143005,352.052979,354.647003,357.737
0.42,343.623016,352.167999,351.289978,353.57901,350.488983,356.936005,354.494995,357.507996,360.635986
0.44,344.842987,353.350006,352.472992,355.181,352.052979,358.882019,357.318024,360.713013,363.574005
0.46,346.368988,354.53299,353.464996,356.402008,354.075012,361.171021,359.567993,363.612,366.243988
0.48,347.208008,355.181,354.188995,356.973999,355.906006,363.841003,361.705017,365.556976,369.220001
0.5,348.428986,356.020996,355.410004,356.936005,356.744995,365.634003,363.687988,367.235992,371.928009
0.52,349.42099,356.516998,356.248993,357.737,357.737,367.502991,365.556976,369.067017,374.330994
0.54,350.375,357.394012,356.631012,358.615021,358.537994,368.990997,367.617004,371.776001,377.115997
0.56,351.098999,358.119019,357.165009,359.187012,359.378021,370.707001,370.173004,374.292999,379.671997
0.58,352.587006,358.575989,357.737,359.950012,360.86499,372.920013,372.5,376.886993,382.113983
0.6,353.197998,358.69101,358.195007,360.368988,362.506012,374.826996,374.369995,378.337006,384.669983
0.62,353.121002,358.69101,358.386017,359.605988,363.269012,376.619995,375.819,380.015991,387.149017
0.64,353.884003,358.958008,358.615021,359.378021,363.803009,377.916992,377.192993,381.312988,389.018005
0.66,354.723999,359.187012,358.69101,359.759003,364.871002,379.213989,379.100006,383.563019,391.72699
0.68,355.028992,358.958008,358.69101,359.988007,365.634003,380.587982,381.464996,386.119019,394.015991
0.7,355.563019,358.844025,358.615021,360.141022,366.664001,382.342987,383.41098,388.789001,396.64798
0.72,355.791992,359.071991,358.424011,360.330994,368.190002,384.631012,385.356018,390.582001,398.936981
0.74,355.868011,358.69101,358.5,359.567993,369.181976,386.081024,386.997009,392.070007,401.110992
0.76,356.097015,358.30899,358.157013,358.766998,369.792023,387.64502,388.21701,393.214996,403.209015
0.78,356.173004,358.003998,357.585022,358.5,370.669006,388.446014,389.514008,394.740997,405.268982
0.8,356.287994,357.814026,357.356018,358.462006,371.165009,389.743011,391.384003,396.762024,407.444
0.82,356.287994,357.356018,356.669006,358.30899,372.577026,390.696991,393.252991,399.318024,410.037994
0.84,356.326019,356.707001,356.210999,358.157013,373.721008,392.451996,395.121979,401.302002,412.25
0.86,356.13501,356.248993,355.791992,358.270996,374.598999,394.130005,396.304993,402.674988,414.234009
0.88,356.020996,355.639008,355.257996,357.890015,375.705017,395.350983,397.258026,403.704987,416.369995
0.9,355.677002,354.951996,354.494995,357.356018,375.972015,396.418976,398.211975,405.117004,418.278015
0.92,355.257996,354.113007,353.998993,358.003998,376.315002,397.181976,400.005005,406.681,420.414001
0.94,355.218994,353.731995,353.197998,358.882019,376.811005,398.059021,401.798004,408.892975,422.549988
0.96,354.761993,352.815979,352.091003,359.874023,378.108002,399.585022,403.362,411.181976,424.533997
0.98,354.494995,352.091003,351.556976,360.675018,378.679993,401.454987,405.230988,412.36499,426.36499
1,353.960999,351.289978,350.793976,362.085999,379.213989,402.598999,406.031982,413.089996,428.272003
1.02,353.807983,350.297974,349.916992,362.886993,379.671997,403.248016,407.061981,414.196014,430.256012
