Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,304.871002,305.367004,305.252991,312.768005,310.785004,309.526001,309.259003,314.561005,314.027008
0.02,306.511993,307.923004,306.549988,315.858978,312.539001,311.052002,311.623993,316.392975,316.202026
0.04,308.876984,310.898987,307.884979,319.597015,315.47702,313.570007,315.515015,319.253998,319.94101
0.06,312.15799,314.599976,310.326996,324.595001,320.131012,317.804016,321.084991,323.602997,325.166992
0.08,316.049011,320.016998,313.149994,330.737,325.549011,322.877991,327.647003,329.286987,331.729004
0.1,320.894012,325.967987,317.27002,337.985992,331.843994,329.631012,335.887024,336.192993,339.931
0.12,326.425995,332.529999,322.572998,345.845001,339.28299,337.031982,344.319,344.471008,349.049011
0.14,332.988007,339.816986,328.790985,354.238007,347.52301,344.96701,354.084991,352.979004,360.113007
0.16,340.197998,347.447021,335.696991,363.470001,356.144989,353.817993,364.690979,363.011993,371.291016
0.18,347.027008,355.381989,343.403015,372.855011,365.644989,364.080994,375.182007,374.190002,383.38501
0.2,354.276001,363.66098,351.453003,382.544983,375.678009,374.114014,386.246002,385.445007,395.89801
0.22,362.287018,372.130005,360.113007,392.197021,385.483002,384.682007,397.766998,397.003998,408.753998
0.24,370.032013,380.713989,369.459991,402.307007,395.630981,395.744995,409.440979,410.013,421.95401
0.26,378.119995,389.679016,378.348999,412.378998,406.197998,406.88501,421.496979,422.259979,435.574005
0.28,385.634979,397.5,387.505005,422.069,416.002991,418.024994,433.360992,433.514008,449.117004
0.3,393.799988,405.855011,396.546021,431.721008,426.34201,429.278992,445.570007,445.989014,462.966003
0.32,401.201019,413.827972,405.740997,440.457001,435.955994,440.457001,456.937988,457.358002,476.546997
0.34,408.487,421.19101,414.705994,449.155975,445.074005,450.91098,467.963989,468.688995,490.282013
0.36,415.544983,428.515991,423.251984,457.43399,454.648987,461.13501,478.76001,480.553009,503.862976
0.38,421.878021,435.345001,431.225006,465.40799,463.5,471.28299,489.708984,492.684998,516.910034
0.4,427.714996,441.143982,438.968994,472.237,471.320984,481.621002,500.429993,504.434998,529.156982
0.42,433.627991,447.019012,446.332001,479.218018,479.256012,491.388,510.615997,516.682007,541.670044
0.44,438.816986,452.131012,453.084991,485.550995,486.694977,500.810974,520.839966,528.203003,553.839966
0.46,443.548004,457.053009,459.647003,491.196991,493.410004,509.509033,530.07196,538.923035,565.666992
0.48,448.469025,461.057983,465.674988,496.042023,499.743011,517.864014,538.694031,549.070984,577.302002
0.5,452.246002,465.10199,470.710999,500.544006,505.731995,525.493958,546.972961,558.760986,588.328003
0.52,455.985016,468.077972,475.365021,504.549988,511.531006,533.124023,555.060974,567.994019,599.20105
0.54,458.884003,470.557983,479.332001,507.906982,516.262024,540.373047,562.729004,577.264038,609.309998
0.56,461.364014,472.847015,483.071014,510.501038,520.687012,546.705994,569.749023,585.695007,619.30603
0.58,463.462006,474.869019,486.200012,512.943054,525.075012,552.885986,577.035034,594.507996,627.583984
0.6,465.140991,475.783997,488.945984,514.43103,528.812988,558.609009,583.672974,602.291016,636.702026
0.62,466.360992,476.547974,490.81601,515.95697,532.093994,564.255005,589.549011,609.615967,645.323975
0.64,467.123993,476.853027,492.722992,516.757996,534.879028,569.329041,594.699036,617.093018,653.450012
0.66,467.582001,476.891022,493.752991,517.101013,537.741028,573.449036,599.96405,622.929993,661.233032
0.68,467.65802,476.738007,494.592987,517.063049,539.533997,577.68396,605.342957,628.080017,668.824951
0.7,467.200989,475.899017,494.592987,516.757996,541.25,581.765991,609.844971,634.565979,676.150024
0.72,466.742981,475.020996,494.554016,515.95697,542.929016,585.200012,614.231995,640.059998,683.169006
0.74,465.97998,473.64801,494.058014,514.621033,543.997009,588.823975,618.46698,645.132996,689.807007
0.76,464.759003,472.122009,493.256989,513.286011,544.95105,591.98999,622.358032,650.513,695.186951
0.78,463.30899,469.832977,492.151001,511.072998,546.133972,595.004028,625.486023,655.358032,700.794983
0.8,461.515991,467.77298,490.242981,508.783997,547.468994,597.29303,628.880981,659.478027,706.593994
0.82,459.609009,465.40799,488.26001,506.038025,548.346008,599.619995,632.124023,664.132019,712.43103
0.84,457.511017,462.432007,486.009003,503.633972,549.261963,601.833008,635.290955,668.786987,718.458008
0.86,454.764008,459.417999,483.682007,500.315002,550.291992,603.817017,638.45697,672.753967,724.906006
0.88,451.674011,456.02301,480.782013,497.301025,551.092957,605.915039,641.776001,677.218018,730.81897
0.9,448.850006,452.58902,477.883026,493.829987,551.703979,608.013,645.171997,681.375977,736.69397
0.92,445.951019,449.041016,474.640015,490.242981,552.46698,610.034973,648.375977,685.382019,742.875
0.94,443.052002,445.76001,471.397003,486.618988,552.656982,612.094971,651.046997,689.312012,748.711975
0.96,439.922974,441.639984,467.848999,483.720001,552.694946,613.735962,653.640991,692.707031,754.968018
0.98,436.412994,437.786987,464.071991,481.506989,552.542969,615.223999,656.502014,696.789001,760.653015
1,432.980011,434.429993,459.98999,480.134003,552.008972,617.054993,659.820984,700.641968,766.18396
1.02,429.316986,430.537994,455.945984,479.981018,551.474976,619.000977,662.492004,704.304993,771.754028
1.04,426.151001,426.800018,451.94101,480.667999,550.787964,620.755981,665.429016,708.72998,776.981018
1.06,422.602997,423.137024,447.934998,482.346008,549.910034,622.81604,668.443054,712.773987,781.75
1.08,418.902008,419.360016,443.96701,485.016998,549.338013,624.455994,671.304993,716.703003,787.128967
1.1,415.811981,415.468994,439.884979,488.220978,548.880005,626.210999,674.279968,720.366028,792.087952
1.12,412.378998,412.034973,435.993988,491.768982,548.308044,628.804993,676.875,724.10498,797.01001
1.14,408.753998,408.259003,431.834991,495.698975,548.308044,631.170959,679.773987,727.690979,802.122009
1.16,405.855011,404.710999,427.639008,499.93399,548.231995,633.536011,682.559021,731.276978,806.814026
1.18,402.536011,401.658997,423.862,504.015991,548.269958,636.16803,685.611023,735.434998,811.468994
1.2,399.255005,398.529999,420.085022,507.906982,549.070984,638.57196,688.892029,739.36499,815.970032
1.22,396.203003,395.173004,416.498993,512.218018,549.682007,641.242004,692.096985,743.103027,820.891968
1.24,393.22702,392.044983,412.875,515.690002,550.673035,643.875,694.957947,747.414001,825.737
1.26,390.213013,389.373993,409.135986,518.856018,551.742004,646.164001,698.200989,751.458008,830.200012
1.28,387.542999,386.437012,405.855011,522.289978,552.809998,648.453003,701.367004,754.968018,835.007019
1.3,384.720001,383.536987,402.574005,524.807983,553.802002,651.009033,704.419006,758.782959,840.005005
1.32,381.897003,381.171997,399.370026,527.057983,554.945984,654.061035,707.279968,762.713013,844.927002
1.34,379.721985,377.96701,396.317017,528.774963,556.128967,657.036011,710.447021,766.870972,849.580994
1.36,377.281006,375.945007,393.379974,529.882019,556.967957,659.631042,713.423035,770.609985,854.578979
1.38,374.990997,373.389008,391.014984,530.453979,557.846008,662.109985,716.817993,774.348999,859.462036
1.4,372.47403,371.062012,388.95401,531.179016,558.380005,664.856995,719.755005,778.163025,864.269043
1.42,370.490021,368.886993,387.276001,531.21698,559.638977,667.985962,722.731018,782.169006,868.656006
1.44,368.085999,366.827026,387.389984,530.377991,560.477966,670.770996,725.70697,785.755005,873.271973
1.46,365.873993,364.61499,388.152985,529.729004,561.583984,673.516968,728.950012,789.03595,877.658997
1.48,364.5,362.707001,390.213013,528.661011,562.919983,675.997009,731.886963,792.622986,881.893982
1.5,362.287018,361.143005,393.53299,527.057983,563.64502,679.278015,734.749023,795.86499,885.671021
1.52,360.303986,358.854004,398.033997,525.570984,564.635986,682.062988,737.45697,799.757019,889.677002
1.54,358.358002,357.290009,403.604004,523.43396,565.552002,685.001038,740.39502,803.228027,893.530029
1.56,357.365997,355.839996,409.898987,521.031006,566.544006,687.442017,743.408997,806.280029,897.612
1.58,355.268005,353.855988,416.765991,518.513,567.612,690.036011,746.346008,809.637024,901.350952
1.6,353.246002,352.139008,423.976013,515.690002,568.719055,692.668945,749.131042,812.880005,905.127991
1.62,352.216003,350.957001,431.605988,512.752014,569.596008,695.110046,752.06897,815.931946,908.52301
1.64,350.38501,349.164001,439.04599,509.471008,570.359009,697.552002,755.27301,819.02301,912.070984
1.66,348.744019,347.867004,446.867004,505.731995,571.427002,700.107971,758.286987,821.807007,915.580994
1.68,348.057007,346.989014,454.153015,502.184998,571.999023,702.396973,761.109985,825.203003,918.937988
1.7,346.302979,345.234009,461.248993,497.949982,573.029968,704.572021,763.894958,828.40802,922.410034
1.72,345.043976,343.861023,467.925995,494.019989,574.020996,707.013,767.138,831.382996,925.919983
1.74,344.279999,343.022003,474.144012,490.128998,575.089966,709.072998,769.809021,834.205994,929.58197
1.76,343.098022,341.533997,479.904999,485.626984,576.768005,711.247986,772.708008,837.028992,933.053955
1.78,341.686005,340.579987,485.208008,481.23999,578.52301,713.575012,775.531006,840.234009,936.372986
1.8,340.80899,339.549988,489.937988,476.776001,580.468994,715.864014,778.469055,843.438965,939.653992
1.82,339.549988,338.481995,493.867981,472.351013,582.490967,718.496948,781.291992,846.299988,943.086975
1.84,338.634003,337.336975,497.568024,468.459991,584.817993,720.976013,784.19104,849.276001,946.710999
1.86,337.756989,336.345001,500.734985,465.063995,587.221008,723.494019,786.786011,852.213013,950.031006
1.88,336.688995,335.543976,503.175964,462.432007,589.471985,726.127014,789.760986,855.41803,953.044006
1.9,335.543976,334.246979,505.046021,460.639008,591.760986,728.834961,792.278992,858.127014,956.210999
1.92,334.781006,333.597992,506.609985,460.677002,593.478027,731.544006,794.492004,860.567993,959.224976
1.94,334.056,332.796997,507.411011,461.744995,595.195007,733.833008,797.047974,863.277039,962.544006
1.96,333.21698,331.61499,508.097992,464.759003,596.912048,736.235962,799.260986,866.252014,965.175964
1.98,332.45401,330.774994,507.983032,468.459991,598.322998,738.869019,801.73999,868.694031,968.265991
2,331.652985,330.316986,507.257996,473.533997,599.277039,741.005005,804.411011,871.440979,970.632019
2.02,330.661011,329.210999,506.266998,479.752014,600.116028,743.026978,806.891052,874.112,973.187988
2.04,329.89801,328.714996,504.778992,486.580994,600.612,745.31604,809.179993,876.666992,975.666992
2.06,329.325989,328.296021,503.557983,493.677002,601.528015,747.414001,811.773987,879.146973,977.880005
2.08,328.601013,327.380005,501.955994,501.115967,602.442993,749.131042,814.062988,881.742004,980.39801
2.1,327.951996,326.654999,499.971985,508.288971,603.664001,751.077026,816.580994,884.031006,982.572998
2.12,327.417999,326.121002,497.301025,515.804016,604.88501,753.251038,819.174988,886.776978,985.129028
2.14,326.692993,325.358002,494.744995,522.518982,606.372986,754.700989,821.388,889.677002,987.570007
2.16,326.312012,324.824005,491.654999,529.385986,607.860962,756.914001,824.02002,891.851013,989.669006
2.18,325.471985,324.136993,488.335999,535.565979,609.996948,758.70697,826.653015,894.751038,991.958008
2.2,325.015015,323.794006,484.94101,540.869019,611.980957,760.5,828.827026,897.192017,994.169983
2.22,324.481018,323.489014,481.431,545.598999,613.888977,762.635986,831.382996,899.634033,996.344971
2.24,324.174988,322.993011,477.615997,549.987,616.367981,764.544006,833.253052,901.617981,998.596008
2.26,323.832001,322.497009,474.182007,553.497009,618.198975,766.757019,835.731995,904.25,1000.769958
2.28,323.106995,321.886017,470.671997,556.778015,620.182983,768.85498,838.020996,906.72998,1002.910034
2.3,322.572998,321.542999,466.552002,559.180969,621.900024,771.296997,839.928955,909.210022,1004.969971
2.32,322.230011,321.161011,462.432007,560.78302,623.234985,773.546997,841.76001,911.651001,1007.329956
2.34,321.580994,320.322021,458.425995,562.461975,624.075012,775.95105,843.171997,913.979004,1009.279968
2.36,321.35199,320.246002,454.076996,563.148987,624.531982,778.125,845.422974,916.229004,1011.379944
2.38,320.58902,319.63501,449.804016,563.263,625.143005,779.994995,846.795959,918.366028,1013.25
2.4,320.58902,319.177979,445.951019,562.919983,625.830017,782.016968,848.169006,920.27301,1015.380005
2.42,320.208008,318.987,442.173981,562.309021,626.440002,783.657043,849.618958,921.98999,1017.369995
2.44,319.712006,318.720001,438.511993,560.669006,626.860046,785.602966,851.71698,924.088013,1019.269958
2.46,319.063019,318.376007,434.811005,558.838013,627.812988,787.281006,853.357971,925.919983,1021.219971
2.48,318.987,317.918976,430.195007,557.158997,628.386047,788.768982,855.189026,927.865051,1022.969971
2.5,318.529022,317.728027,426.265015,554.297974,629.301025,790.10498,857.097046,929.505981,1024.579956
2.52,318.300018,317.308014,422.565002,551.664978,629.912048,791.553955,859.270996,931.070007,1026.52002
2.54,317.918976,316.926971,418.979004,548.95697,630.751038,792.545959,861.369019,933.205994,1028.049927
2.56,317.728027,316.583008,415.660004,545.52301,631.398987,793.729004,862.972046,934.88501,1029.960083
2.58,316.965027,316.202026,412.302002,541.403015,631.704956,795.026001,864.994019,936.411011,1031.47998
2.6,316.850006,315.591003,409.135986,537.817017,632.544006,796.322998,867.205994,937.403015,1032.699951
2.62,316.583008,315.553009,405.626007,533.77301,633.001953,797.697021,869.419006,938.85199,1034.339966
2.64,316.087006,315.019012,402.536011,529.461975,633.536011,798.802979,871.17395,940.531006,1035.940063
2.66,315.896973,314.52301,399.292999,525.151001,634.184021,800.442993,873.08197,942.057007,1037.279907
2.68,315.362976,314.485016,396.470001,520.000977,634.833008,802.046021,874.759949,943.468994,1038.540039
2.7,314.981018,314.294006,393.761017,514.965027,636.053955,803.801025,876.552979,944.957031,1039.720093
2.72,314.561005,314.179993,391.281982,510.15799,636.549988,805.517029,878.346008,946.44397,1041.399902
2.74,314.332977,313.912994,388.687012,505.122009,637.312988,807.309998,879.719971,947.893982,1042.469971
2.76,314.218018,313.531006,386.742004,499.89502,638.723999,808.835999,880.788025,949,1043.920044
2.78,314.104004,313.378998,385.407013,495.546021,639.982971,810.858032,881.969971,950.182983,1045.060059
2.8,313.950989,313.226013,384.987,491.312012,641.279968,812.346008,883.229004,951.366028,1046.440063
2.82,313.378998,312.882996,385.94101,488.182983,642.386963,814.100952,884.374023,952.395996,1047.660034
2.84,313.302002,312.501007,388.11499,486.542999,644.370972,815.092957,885.250977,953.502014,1048.800049
2.86,313.035004,312.462982,391.777985,486.238007,645.552979,816.276001,886.395996,954.837036,1049.680054
2.88,312.615997,312.195984,397.041992,487.839996,646.620972,817.343994,887.997986,955.829041,1051.089966
2.9,312.234009,311.852997,403.56601,491.121002,647.84198,818.144958,889.294983,956.973999,1052.080078
2.92,311.852997,311.815002,410.737976,495.737,648.757996,819.174988,890.973999,958.194946,1053.380005
2.94,312.005005,312.044006,418.787994,500.810974,649.406006,819.823975,892.5,959.224976,1054.329956
