Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,296.220978,302.325012,309.994019,310.223022,307.399017,308.582001,297.250977,306.751007,307.514008
0.02,298.166992,303.698975,311.596008,311.291016,308.582001,309.382996,299.884003,308.811005,308.811005
0.04,300.34198,305.377014,313.046021,312.701996,310.108002,311.062012,302.59201,310.18399,309.192017
0.06,303.126984,306.407013,315.60199,314.419006,311.671997,312.09201,305.568024,312.016022,311.32901
0.08,306.559998,308.01001,318.92099,317.166016,312.968994,313.88501,309.231018,314.572021,313.809021
0.1,310.717987,309.916992,322.391998,320.027008,315.449005,316.516998,312.701996,317.852997,316.403015
0.12,314.877014,311.634003,326.779999,323.345978,318.386993,319.264008,317.279999,321.28598,319.645996
0.14,319.798004,312.397003,330.976013,326.550995,320.942993,322.010986,321.743988,324.720001,323.879974
0.16,326.054993,314.152008,336.011993,330.251007,323.91803,325.55899,326.588989,329.259003,328.992004
0.18,332.082977,316.516998,341.161987,334.601013,326.970001,329.450012,332.082977,334.06601,333.761017
0.2,338.300995,318.195984,346.350983,338.45401,329.869995,332.845978,337.5,338.950012,338.872986
0.22,345.09201,319.912994,351.577026,341.96402,332.960022,336.928009,342.841003,343.717987,345.321014
0.24,351.767975,321.28598,357.757996,346.160004,336.165009,341.390991,348.906982,349.135986,351.767975
0.26,358.483002,323.002991,363.328003,350.279999,339.10199,345.321014,354.934998,354.743988,358.521027
0.28,365.425995,324.261993,368.324982,354.324005,342.231018,349.36499,360.848022,360.047028,365.350006
0.3,371.834991,325.291992,373.856995,358.292023,345.014984,353.598999,366.98999,365.997986,372.713013
0.32,378.244019,326.703003,379.121979,361.725006,347.953003,357.834015,373.285004,372.10199,380.113983
0.34,384.692017,328.076996,383.85199,365.044006,350.96698,362.031006,379.503021,377.938995,387.591003
0.36,390.528992,328.610992,388.545013,368.286987,353.751984,366.455994,385.798004,383.776001,395.640991
0.38,395.945984,329.450012,393.046997,371.033997,356.194,370.233002,391.406006,389.766022,403.38501
0.4,401.402008,330.480011,396.785004,373.781006,358.444,374.085999,397.358002,395.71698,411.130005
0.42,406.628021,330.862,400.639008,376.489014,360.695007,378.167999,402.889008,401.630005,419.485016
