Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,304.847015,313.315979,322.968018,310.341003,307.976013,321.595001,299.430023,311.980988,308.928986
0.02,305.915009,314.38501,324.609009,311.408997,309.653992,322.777985,300.154999,313.811981,310.263977
0.04,307.402985,315.453003,326.059021,312.018982,310.950989,323.540985,301.643005,315.643982,311.713989
0.06,308.852997,316.979004,328.5,313.773987,311.600006,324.722992,302.673004,317.856018,312.552979
0.08,309.72998,318.619019,330.063995,314.765991,313.201996,326.13501,304.503998,320.221985,314.536987
0.1,310.875,319.916016,331.322998,316.291992,314.727997,327.661011,306.296997,323.006989,316.902985
0.12,311.942993,321.518982,333.002014,318.237976,315.91098,329.416016,307.631989,326.097015,319.344025
0.14,312.934998,323.350006,334.450989,319.763977,318.276001,331.552002,309.958984,328.996002,322.091003
0.16,314.536987,324.98999,336.167999,321.78598,320.450012,333.649994,312.325012,332.428986,324.914001
0.18,315.872009,327.356018,338.113983,323.921997,322.205017,335.824982,314.957001,335.442993,328.119019
0.2,317.016998,329.263,340.135986,325.639008,324.151001,338.265991,318.123016,339.105988,331.819
0.22,318.962982,331.171021,342.081024,327.316986,326.553986,341.127991,321.404022,342.539001,335.481995
0.24,320.450012,332.848999,344.065002,329.378021,328.386017,343.68399,324.417999,345.820007,339.334991
0.26,321.328003,334.412994,346.278015,331.398987,330.21701,346.087006,327.432007,349.101013,342.958984
0.28,322.968018,336.09198,347.346008,333.269012,332.696991,348.376007,330.179016,352.725006,346.583008
0.3,324.151001,337.884979,348.529022,334.794983,334.412994,350.360016,333.269012,356.196991,350.39801
0.32,324.800018,339.181976,349.788025,336.28299,336.320984,352.916016,336.472992,359.515991,354.251007
0.34,326.326019,340.707977,350.740997,337.427002,338.418976,355.471985,339.334991,363.026001,358.371002
0.36,327.774994,342.233978,351.847992,338.685974,339.753998,358.065979,342.768005,366.115997,362.071991
0.38,328.653015,342.92099,352.458008,339.220001,341.051025,360.316986,345.895996,368.710022,365.619995
0.4,329.187012,344.027008,353.259003,340.669983,342.272003,362.720001,348.262024,372.372009,369.397003
0.42,330.255005,345.171997,354.174988,342.15799,343.873993,365.123993,350.58902,375.61499,373.13501
0.44,330.559998,345.705994,354.251007,342.768005,345.095001,367.108002,353.373993,378.246979,376.988007
0.46,331.285004,346.429993,354.708984,343.721985,346.583008,369.434998,355.852997,381.031982,380.459991
0.48,331.743011,346.774017,355.128998,344.790009,347.84201,371.723999,358.410004,384.312988,383.932007
0.5,332.924988,347.117004,354.976013,345.171997,348.987,372.601013,361.30899,386.029999,387.670013
0.52,332.963989,347.613007,354.632996,345.666992,350.093018,374.279999,363.178009,387.937012,390.951019
0.54,332.582001,347.995026,355.089996,345.934998,350.550995,375.843994,365.238007,391.523987,394.080017
0.56,333.497986,347.688995,354.976013,345.515015,351.046997,377.332001,367.603973,393.584015,397.170013
0.58,333.993988,347.27002,354.747009,345.47702,351.770996,378.553009,368.481018,394.536987,399.915985
0.6,333.916992,347.613007,354.976013,345.973022,352.610992,380.192993,369.778015,396.94101,402.967987
0.62,334.032013,347.421997,353.946014,346.049011,352.877991,381.48999,371.800018,398.809998,405.677002
0.64,333.459991,347.27002,353.221008,345.515015,353.296997,382.406006,373.173004,400.298004,408.194977
0.66,333.040009,347.154999,353.296997,345.934998,353.411987,383.39801,374.127014,402.053009,411.056
0.68,332.963989,346.658997,352.725006,345.553009,353.71701,384.161011,375.806,403.540985,413.192993
