Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,309.673981,297.886017,300.02298,300.78598,319.477997,313.108002,302.350006,294.833984,297.847992
0.02,310.093994,299.679016,301.548981,303.34201,321.081024,315.205994,304.944,297.046997,300.02298
0.04,311.46698,301.51001,303.494019,306.393005,323.637024,317.53299,308.033997,300.098999,302.540009
0.06,313.336029,304.485992,306.317017,310.169983,326.72699,320.547028,311.542999,303.609009,306.355011
0.08,315.73999,307.881012,309.826996,313.793976,330.273987,324.399994,315.091003,308.071991,310.932983
0.1,319.097015,311.733978,313.297974,318.791992,334.241974,328.596008,320.08902,312.572998,315.205994
0.12,322.796997,315.281982,317.876007,324.093994,339.277008,333.25,325.429993,317.227997,321.157013
0.14,327.299011,320.585022,322.834991,329.587982,344.083984,338.743011,330.960999,323.063995,327.108002
0.16,331.800018,325.735016,327.984985,335.958008,349.958984,344.427002,336.606995,329.510986,333.669983
0.18,337.141022,331.53302,334.127014,342.214996,355.718994,350.149994,342.863007,335.996979,340.613007
0.2,342.177002,337.561005,340.154999,348.203979,361.747009,356.444,349.309998,343.053986,347.707977
0.22,347.707977,343.28299,346.105988,354.84201,368.384979,362.928986,356.177002,349.997009,355.262024
0.24,353.240021,349.348999,352.209991,361.480011,375.02301,369.490997,363.195984,357.28299,362.928986
0.26,359.075989,355.681,358.466003,367.774017,381.35498,376.091003,370.178009,365.104004,370.75
0.28,364.798981,361.747009,364.989014,374.298004,387.572998,382.766998,377.350006,372.390015,378.798981
0.3,370.330017,367.545013,371.58902,380.744995,394.05899,389.519012,384.559998,379.866974,387.076996
0.32,376.281006,373.993011,378.151001,386.65802,400.429016,396.347992,391.617004,387.268005,394.973999
0.34,382.079987,379.866974,384.292999,392.876007,406.915009,402.756989,398.445984,394.402008,403.443024
0.36,387.535004,385.70401,390.320007,398.789001,413.246979,409.433014,405.197998,401.955017,411.339996
0.38,393.028992,391.158997,396.041992,404.167999,419.122009,415.841003,411.569,409.622986,419.503998
0.4,398.445984,396.61499,401.917023,409.509003,424.730011,422.022003,418.511993,416.681,427.057007
0.42,403.21402,401.955017,407.29599,414.621002,430.184998,428.162994,425.112,423.929016,435.182983
0.44,408.287994,406.990997,412.522003,419.084015,435.678986,433.885986,431.291992,430.756989,442.964996
0.46,413.324005,412.027008,417.32901,423.319,440.713989,439.570007,437.548004,437.433014,450.557007
0.48,417.863007,416.147003,421.983002,427.47699,445.712006,445.062988,443.307983,444.03299,457.766998
0.5,422.212006,420.381012,426.218018,431.062988,450.328003,450.557007,449.031006,450.328003,465.281982
0.52,425.531006,424.234009,430.414001,434.419983,454.562012,455.554016,454.715027,456.507996,472.416016
0.54,429.498993,427.743988,434.267029,437.585999,458.834991,460.513,460.016998,462.42099,479.397003
0.56,433.847992,431.406006,437.51001,440.562012,462.992981,465.472992,465.052979,467.913971,486.149017
0.58,436.098022,434.419983,440.638,442.889008,466.807983,469.592987,469.477997,473.255005,492.863007
0.6,439.493011,436.861023,443.269989,445.405975,470.012024,473.86499,473.980011,478.367004,499.309998
0.62,442.393005,439.265015,445.672974,447.16098,473.063995,477.717987,478.480988,483.479004,505.070984
0.64,444.720001,441.743988,447.694977,448.877991,476.002014,481.761993,483.05899,488.438019,511.747009
0.66,447.618988,443.460999,449.527008,450.365997,478.747986,485.653015,487.370026,494.084015,517.773987
0.68,449.565002,445.405975,451.128998,451.358002,481.419006,489.621002,491.681,498.890991,523.190979
0.7,451.014008,446.817993,452.388,452.158997,484.013,493.549988,496.105988,503.430023,528.914001
0.72,453.151001,448.152985,453.837006,452.884003,485.958008,497.097992,500.226013,508.122986,534.788025
0.74,454.371002,449.069,454.944,453.456024,488.781006,500.873993,504.307983,512.739014,540.281982
0.76,455.554016,449.90799,455.821014,453.875,490.917999,504.612976,508.045959,516.66803,545.775024
0.78,456.470001,450.632996,456.164001,453.952026,493.359009,508.35199,511.937012,521.169006,551.268982
0.8,457.080017,451.243011,456.507996,453.837006,495.800995,511.861023,516.096008,525.632996,556.379944
0.82,457.804993,451.243011,456.431,453.494019,498.737976,515.333008,519.987,530.516052,561.987976
0.84,458.377014,451.204987,456.164001,453.265015,501.218018,518.575012,523.763,535.093994,567.177002
0.86,458.834991,451.204987,455.936005,452.617004,504.230988,521.817993,527.463989,539.557007,572.25
0.88,459.216003,450.824005,455.667999,452.121002,507.054993,524.755005,531.088013,543.905945,577.362
0.9,459.10199,450.557007,455.210999,451.320007,509.724976,527.921997,534.865051,548.140015,582.817017
0.92,459.140015,449.984009,454.524017,450.518005,512.319031,530.516052,538.603027,552.145996,587.624023
0.94,458.873016,449.220978,453.570007,449.411987,514.570007,533.223999,541.617004,556.074951,592.697998
0.96,458.490997,448.535004,452.46402,448.457977,516.744019,535.817993,544.592957,559.737976,597.886047
0.98,458.223999,447.505005,451.777008,447.580994,519.070984,538.412964,547.567993,563.437988,602.731018
1,457.347015,446.588989,450.785004,446.550995,520.979004,540.663025,549.81897,566.986023,607.575989
1.02,456.813019,445.596985,449.527008,446.092987,522.961975,543.10498,552.870972,570.419006,612.305969
1.04,456.317017,444.415009,448.076996,445.94101,524.603027,545.355957,555.159973,573.737976,616.883972
1.06,454.944,443.307983,446.588989,446.664978,526.013977,547.567993,557.945007,577.057007,621.424011
1.08,454.142975,442.010986,445.216003,447.809998,527.348999,549.552002,560.881958,580.452026,625.276978
1.1,453.036011,440.371002,443.652008,449.755005,528.379028,551.726013,563.476013,583.617981,628.97699
1.12,451.929993,438.807007,442.201996,452.349976,529.829041,554.130005,566.223022,586.785034,633.517029
1.14,451.014008,437.433014,440.82901,455.058014,530.707031,556.799988,569.275024,590.104004,637.97998
1.16,449.794006,436.022003,438.998016,458.453003,531.965027,559.471008,572.36499,593.804016,642.215027
1.18,448.152985,434.343018,437.204987,461.809998,533.110046,562.484009,575.377991,597.619019,646.754028
1.2,447.200012,432.664978,435.487976,465.472992,533.720032,565.651001,578.773987,601.281006,651.065002
1.22,445.979004,431.062988,433.732971,469.173004,535.208008,568.625977,581.749023,604.714966,655.299011
1.24,444.415009,429.346008,432.054993,472.873016,536.467041,571.830994,585.335022,608.567993,659.496033
1.26,442.735992,427.858002,430.03299,476.878998,537.840027,574.576965,588.72998,612.611023,663.501038
1.28,441.134003,426.256012,428.200989,480.540985,539.442993,577.971985,592.23999,616.731018,667.927002
1.3,440.179993,424.272003,426.446991,483.89801,541.006958,581.023987,595.597046,620.661011,672.42804
1.32,438.463013,422.708008,424.615997,487.293976,542.952026,584.114014,599.107056,624.360962,676.547974
1.34,437.052002,420.877014,422.822998,490.841003,544.630981,586.669983,602.425964,627.18396,680.859009
1.36,435.259003,419.084015,421.411011,493.511993,546.5,588.72998,605.515991,630.69397,684.787964
1.38,433.656982,417.138,419.733002,496.296997,548.292969,591.439026,607.994995,633.70697,688.869995
1.4,432.207001,415.459991,419.046021,498.96698,549.856995,593.728027,610.970947,636.950012,692.951965
1.42,430.718994,413.513977,419.122009,500.76001,551.916992,596.017029,613.374023,639.963989,697.14801
1.44,428.888,411.76001,419.618011,502.628967,554.320007,598.19104,615.662964,643.015991,701.000977
1.46,427.362,409.85199,421.449005,504.27002,555.845947,600.213013,617.838013,645.723999,704.320007
1.48,425.76001,408.05899,423.662018,505.299988,557.487,602.158997,620.432007,648.509033,707.716003
1.5,424.196014,406.419006,426.332001,506.177002,558.745972,603.875,622.643982,651.369995,710.919983
1.52,422.365021,404.511017,429.613007,506.977966,560.156982,606.164001,624.856995,654.041016,714.315002
1.54,420.990997,402.947021,434,507.169006,561.758972,608.186035,626.573975,656.940002,718.130005
1.56,419.237,401.116028,438.540009,507.39801,563.094971,610.436951,629.09198,659.609985,721.487
1.58,417.673004,399.208984,443.765991,507.39801,564.125,612.725952,631.953003,662.433044,724.768005
1.6,416.298981,397.644989,448.724976,507.093018,564.848999,615.357971,634.546997,665.638,728.429993
1.62,414.276978,395.812988,453.761017,506.596985,565.268982,617.98999,637.292969,669.109009,731.749023
1.64,412.483978,394.097015,458.567993,505.909973,565.994019,620.927979,640.078003,672.390015,735.487976
1.66,410.997009,392.494995,464.02298,505.222961,566.68103,623.597961,643.741028,675.822998,738.844971
1.68,409.432007,390.701996,468.562988,504.192993,567.52002,625.428955,647.403015,678.760986,742.659973
1.7,407.601013,389.252014,472.759003,503.010986,568.09198,628.175964,650.188049,682.079956,745.825989
1.72,406.419006,387.650024,477.070007,501.713989,569.159973,630.731995,653.049011,685.359985,749.869995
1.74,404.740021,385.856995,481.227997,500.226013,570.572021,633.325989,655.834045,688.526978,753.416992
1.76,403.290985,384.10199,485.272003,498.737976,571.716003,635.919983,658.770996,691.921997,757.040955
1.78,401.993988,382.613983,489.086975,497.059998,573.317993,638.284973,661.746948,694.364014,760.169983
1.8,400.391022,381.203003,492.177002,495.266998,575.377991,640.497986,664.150024,697.300964,763.373962
1.82,398.826996,379.828979,495.227997,493.473999,577.286011,642.786987,666.591003,699.552002,766.731018
1.84,397.567993,378.188995,497.860992,491.56601,579.231018,644.656006,668.765991,701.916992,769.669006
1.86,395.966003,377.005981,500.187988,489.544006,581.749023,646.487,670.444031,704.397034,772.492004
1.88,394.669006,375.441986,502.286011,487.598999,584.038025,647.861023,672.237,706.838013,775.085999
1.9,393.601013,373.877991,504.002991,485.309998,585.984009,649.234009,674.182983,708.859985,777.718018
