Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ,
0,318.145996,319.404999,315.285004,310.096008,321.007019,320.778015,322.189972,316.924988,327.302002,
0.02,319.863007,322.380005,317.764008,311.660004,321.884003,322.53302,323.944977,319.175995,329.553009,
0.04,322.380005,325.585022,321.236023,312.880981,323.181976,322.647003,326.462006,321.922974,331.955994,
0.06,325.661011,329.553009,324.783997,313.109985,325.432007,322.762024,329.057007,325.050995,334.85498,
0.08,329.285004,334.207001,328.40799,313.414978,327.721008,324.021027,331.001984,328.21701,338.556,
0.1,334.207001,339.089996,332.298981,313.796997,331.955994,326.119019,334.129974,331.841003,343.897003,
0.12,339.815002,344.087006,336.342987,315.514008,337.906982,329.247009,337.029999,335.770996,350.268005,
0.14,345.690002,350.381989,340.882996,318.833008,343.210022,333.444,340.882996,340.463013,357.248993,
0.16,352.708984,356.828979,345.994995,323.372009,347.406006,337.41098,345.27002,346.261993,364.726013,
0.18,360.186005,363.047974,351.832001,327.798004,351.945984,340.959015,349.657013,352.632996,371.212006,
0.2,367.664001,369.876007,357.707001,332.031982,355.531982,345.07901,354.350006,359.38501,378.154999,
0.22,375.40799,377.125,363.047974,334.703003,359.156006,348.627014,358.622009,365.718018,386.128021,
0.24,383.572021,383.305023,368.427002,337.105988,364.612,352.251007,362.589996,372.279999,394.062988,
0.26,391.812012,390.209991,373.729004,340.119995,370.945007,356.714996,366.634003,378.764984,403.06601,
0.28,400.587006,396.923981,378.421997,344.392975,376.93399,361.522003,371.936005,385.289001,413.138,
0.3,408.559998,403.677002,383.381012,349.657013,381.931976,366.481018,377.658997,392.194,421.912018,
0.32,415.960999,409.589996,388.837006,354.654999,386.471008,371.516998,382.88501,399.290009,430.686005,
0.34,423.667023,415.807983,393.643005,359.38501,389.942993,376.553009,388.112,406.080017,439.460999,
0.36,431.488007,420.539001,397.953979,362.437012,393.871979,380.406006,392.460999,412.984985,447.548981,
0.38,438.393005,425.917999,401.654999,364.878998,398.182983,384.945007,395.855988,419.776001,456.360992,
0.4,445.488007,430.800995,404.89798,367.81601,402.570007,389.256012,399.937988,426.223022,465.784027,
0.42,452.850983,435.112,407.988007,371.325989,406.156006,393.147003,404.287018,432.36499,474.214996,
0.44,459.030975,438.735992,411.078003,374.569,409.285004,396.885986,408.369019,438.431,482.112,
0.46,464.830017,442.207977,413.938995,378.421997,412.070007,400.395996,412.641998,443.924011,489.208008,
0.48,470.93399,445.297974,416.074982,381.09201,414.243988,403.524017,415.960999,449.188995,496.531982,
0.5,476.237,447.358002,416.953003,382.733002,416.53299,406.270996,418.783997,454.567993,504.620026,
0.52,480.928986,449.532013,418.592987,383.495972,418.708008,408.94101,420.881989,458.878998,511.945007,
0.54,485.164001,451.364014,419.509003,384.792999,420.042999,411.382996,423.132996,462.808014,518.125,
0.56,488.826019,452.203003,420.424011,386.585999,421.531006,412.833008,425.803009,466.585022,523.351013,
0.58,491.993011,453.118011,420.996979,388.303009,422.255005,415.122009,427.367004,469.942017,528.921021,
0.6,495.234985,453.766998,421.339996,389.867004,422.21701,416.570984,428.626007,473.147003,534.223999,
0.62,497.828979,453.613983,420.72998,390.667999,422.904022,417.716003,430.114014,476.199005,539.031006,
0.64,499.507996,453.424011,420.042999,389.980988,423.28598,419.013,430.266998,478.488007,543.265015,
0.66,500.462006,453.270996,419.776001,389.446991,423.132996,419.85199,430.458008,480.356995,546.966003,
0.68,502.139984,452.165009,419.317993,389.104004,422.598999,420.005005,431.526001,482.074005,549.597961,
