Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,305.769012,309.622009,309.889008,309.774994,309.088013,309.699005,310.804993,308.554016,310.575989
0.02,307.10498,310.919006,310.38501,311.033997,310.118011,310.652008,312.75,309.470001,311.720001
0.04,308.248993,312.063995,311.492004,312.406982,312.216003,311.567993,314.352997,310.804993,313.246002
0.06,309.889008,314.046997,313.398987,313.475006,313.589996,312.522003,315.878998,312.483002,314.924988
0.08,311.492004,315.612,314.352997,314.886993,314.582001,313.779999,318.052979,314.238007,317.02298
0.1,313.285004,317.633026,315.992981,316.565002,316.106995,315.076996,320.303986,316.221985,319.273987
0.12,314.733978,319.46402,318.090973,318.510986,317.518982,316.641998,322.210999,318.548981,321.181
0.14,316.832001,321.601013,319.807983,320.380005,319.006989,318.777985,324.5,320.647003,324.079987
0.16,319.158997,323.966003,321.257019,322.515991,321.143005,320.647003,326.902985,323.240997,327.285004
0.18,321.372009,326.522003,323.470001,324.766998,323.661011,322.669006,328.772003,325.950012,330.297974
0.2,323.470001,329.267975,325.796997,327.285004,325.643982,324.842987,331.213989,328.619995,333.846008
0.22,325.643982,331.823975,327.589996,329.345001,327.703979,327.018005,334.265991,331.138,337.432007
0.24,327.665985,334.227997,329.916992,331.327972,329.649994,329.191986,336.744995,333.960999,341.131989
0.26,329.458984,336.593018,332.281982,333.540985,331.175995,331.556976,339.416016,337.127014,344.755981
0.28,331.823975,339.033997,334.036987,335.944,333.158997,333.960999,341.894989,340.063995,348.761993
0.3,333.921997,341.131989,335.485992,338.195007,336.059021,336.13501,344.299011,342.962982,352.539001
0.32,336.248993,343.536011,337.699005,340.063995,338.003998,338.5,346.320007,346.359009,356.582001
0.34,338.119019,346.397003,339.225006,342.161987,339.45401,340.902985,348.304016,349.372009,360.626007
0.36,339.45401,348.838013,340.597992,343.841003,341.438019,343.078003,350.631012,352.157013,364.25
0.38,341.360992,350.13501,342.506012,345.442993,342.695984,345.213989,352.729004,355.093994,368.484009
0.4,342.886993,351.890015,343.841003,347.160004,344.032013,347.389008,354.40802,357.72699,372.222992
0.42,344.221985,353.606995,345.100006,348.494995,345.709991,349.257996,356.085999,360.587982,376.037994
0.44,345.938995,354.865997,345.938995,349.410004,347.769989,351.280029,357.687988,362.876984,379.813995
0.46,347.197998,355.972015,347.006989,350.516998,348.609009,353.149017,359.138,365.470978,383.132996
0.48,348.113007,357.612,347.846008,351.356018,349.410004,354.713013,360.626007,367.988007,386.48999
0.5,348.800018,358.756989,348.113007,352.157013,350.593018,355.819,361.77002,369.858002,389.846985
0.52,349.601013,359.32901,348.838013,352.729004,351.013,357.459991,363.029022,371.764984,392.822998
0.54,350.211975,359.824982,349.105011,353.263,351.890015,358.450989,363.563019,373.710999,395.76001
0.56,350.669006,360.243988,348.914978,353.874023,352.882019,359.863007,363.982971,375.464996,398.583008
0.58,351.203003,360.626007,349.028992,353.683014,353.378021,360.85498,364.936981,377.067993,401.368011
0.6,351.776001,360.778015,349.410004,353.569,353.492004,361.464996,365.470978,378.326019,403.770996
0.62,352.003998,360.701996,349.067017,353.683014,353.45401,362.227997,365.890015,379.432983,406.135986
0.64,351.547028,360.701996,349.143005,353.187012,353.302002,363.067017,366.576996,380.576996,408.044006
0.66,351.623016,360.73999,348.953003,353.033997,353.529999,363.181976,366.806,381.035004,409.835999
0.68,351.203003,360.130005,348.265991,353.225006,354.026001,363.296021,366.501007,382.140991,411.744019
0.7,350.89801,359.596008,347.694,352.348022,354.330994,364.173981,366.653015,382.752014,413.27002
0.72,350.288025,359.023987,346.777985,351.356018,354.598999,364.097015,366.958008,383.132996,414.643005
0.74,349.906006,358.527985,346.014984,350.402008,354.598999,364.097015,366.768005,383.858002,416.015991
0.76,349.372009,357.649994,345.556976,349.448975,354.063995,364.669983,366.958008,384.278015,417.274994
0.78,348.494995,356.582001,344.833008,348.686005,353.606995,364.89801,366.768005,384.31601,418
0.8,347.846008,355.781006,344.108002,348.190002,353.988007,364.974976,366.843994,384.545013,419.144989
0.82,346.854004,354.598999,342.962982,347.464996,353.988007,365.08902,366.920013,385.154999,420.251007
0.84,346.014984,353.339996,342.123993,346.548981,354.713013,365.318024,366.882019,385.384003,421.548004
0.86,345.367004,352.806,340.635986,345.251984,354.789001,365.470978,367.378021,385.72699,421.929016
0.88,344.221985,351.470001,339.529999,343.612,354.063995,365.699982,367.569,386.109009,423.150024
0.9,343.307007,350.13501,338.766998,342.582001,354.255005,365.814026,367.492004,386.376007,423.951019
0.92,342.085999,349.067017,337.928009,341.705017,353.721008,366.157013,367.835999,387.214996,424.752014
0.94,340.789001,347.57901,337.08902,340.559998,353.912018,366.806,368.140991,387.557983,426.011017
0.96,339.492004,346.052979,335.447998,340.292999,354.063995,366.958008,368.636993,388.09198,426.850006
0.98,338.729004,345.213989,334.227997,339.950012,354.522003,367.339996,369.057007,388.816986,427.804016
1,337.470001,343.803009,333.427002,339.225006,354.292999,367.912018,369.781006,389.579987,428.834015
1.02,335.981995,342.352997,332.243988,339.033997,354.102997,368.255005,370.621002,390.113983,430.131012
1.04,334.571014,341.093994,331.556976,339.874023,354.179016,369.132996,371.307007,391.067993,431.466003
1.06,333.846008,339.874023,330.871002,340.21701,354.21701,370.277008,371.993988,392.212006,432.915985
1.08,332.664001,338.729004,329.725983,341.247009,355.132996,370.582001,372.641998,393.013,433.90799
1.1,331.518982,337.814026,328.544006,342.352997,355.856995,371.230988,373.175995,394.005005,435.319
1.12,330.604004,336.822021,327.514008,343.574005,356.01001,372.108002,373.938995,394.730011,436.730988
