Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,312.294006,307.563995,309.662018,301.53598,305.770996,304.892975,299.589996,305.541992,293.983002
0.02,313.132996,309.050995,310.539001,304.129974,307.029022,306.151978,301.040009,307.716003,295.050995
0.04,314.011017,310.539001,312.218018,307.449005,308.287994,308.36499,302.48999,309.317993,296.766998
0.06,314.583008,311.989014,313.439026,309.96701,310.119995,310.080994,304.473999,310.959015,299.322998
0.08,315.84201,314.011017,315.384003,312.218018,311.913025,311.798004,306.609985,312.561005,301.72699
0.1,317.177002,316.147003,317.481995,315.003021,313.666992,313.057007,309.546997,314.621002,304.167999
0.12,318.932007,318.39801,320.152985,318.015991,316.261993,315.231995,311.835999,316.985992,306.342987
0.14,320.342987,321.296997,322.937988,321.105988,319.122986,318.244995,314.469025,319.274994,309.279999
0.16,322.326996,324.539978,325.722015,324.15802,321.945984,320.763,317.63501,322.251007,312.102997
0.18,324.196014,326.867004,328.622009,327.401001,325.112,323.166016,320.800995,325.798981,314.391998
0.2,326.332977,329.727997,332.092987,330.682007,328.164001,326.71402,323.929016,329.537018,318.321991
0.22,328.889008,332.588989,335.335999,333.696014,330.757996,330.223999,327.324982,333.200012,322.097992
0.24,331.368011,335.527008,338.388,336.441986,333.696014,333.429016,330.720001,336.67099,325.646027
0.26,334.11499,338.27298,340.867981,339.264984,336.975983,336.708984,334.076996,339.569977,329.652008
0.28,336.47998,341.402008,343.957977,342.126007,339.914001,339.722992,337.509979,342.66098,333.313995
0.3,339.188995,343.729004,347.124023,344.529999,343.080017,342.432007,340.82901,346.056,337.587006
0.32,341.821014,346.284973,349.985016,346.819,345.94101,345.369019,344.14801,349.527008,341.477997
0.34,343.919006,349.412994,352.769989,348.878998,348.535004,348.421021,347.352997,352.998993,345.026001
0.36,346.056,351.510986,355.25,351.549011,351.243988,351.587006,350.748016,356.737,348.421021
0.38,348.535004,353.53299,358.644989,353.34201,353.837982,354.600983,353.990997,360.208984,352.617004
0.4,351.053009,356.164978,361.085999,355.287994,356.470001,357.957977,357.385986,363.641998,356.698975
0.42,352.960999,358.302002,363.261017,357.080994,358.682983,360.475983,360.095001,366.923004,360.208984
0.44,355.325989,360.017975,365.167999,358.606995,361.238983,363.337006,363.757019,369.821991,364.100006
0.46,357.272003,361.619995,367.533997,359.97998,363.375,365.893005,366.694,373.294006,368.068024
0.48,358.873993,363.261017,368.983002,361.582001,365.588013,368.678009,369.174011,376.269989,371.959015
0.5,360.781006,364.634003,370.85199,362.574005,367.419006,371.196014,371.997009,378.863983,375.467987
0.52,362.421997,366.351013,372.645996,363.528015,369.136017,373.636993,374.705994,382.182983,378.978027
0.54,363.56601,367.761993,373.980988,364.253021,371.080994,376.002991,377.375977,385.540009,382.869019
0.56,364.863007,368.449005,375.23999,365.130005,372.76001,378.367981,380.16098,387.867004,385.845001
0.58,366.313019,369.554993,376.612976,365.664001,374.553009,380.503998,382.90799,390.347015,388.859009
0.6,367.419006,370.700012,377.490021,366.275024,376.078979,382.296997,384.852997,392.979004,392.329987
0.62,368.296997,371.424988,378.367981,366.235992,377.757019,384.548004,387.408997,395.764008,395.572998
0.64,369.670013,371.576996,379.130981,366.618011,378.978027,387.141998,389.393005,398.281982,398.625
0.66,369.937012,372.149994,379.817017,367.076019,380.313019,389.506989,392.024994,400.761017,401.753021
0.68,370.929016,372.835999,379.970001,366.960999,381.610016,391.987,394.084991,403.584015,405.110016
0.7,371.005005,372.76001,380.656982,367.076019,382.869019,393.932983,396.373993,406.330994,408.315002
0.72,371.463013,372.798004,380.923981,366.998993,384.127991,395.725983,398.243011,408.238007,411.404999
0.74,372.072998,372.950989,380.694977,366.351013,385.578003,397.632996,400.379974,410.375,414.608978
0.76,372.416992,372.721985,380.694977,365.664001,386.988983,398.968018,402.669006,412.968994,417.623016
0.78,372.416992,372.644989,380.466003,365.397003,388.171997,400.875977,404.958008,415.447998,420.484009
0.8,372.569,372.606995,380.389984,365.167999,389.544983,402.936005,406.86499,417.394012,423.231018
0.82,372.302002,372.264008,380.122986,364.938995,390.727997,404.843018,408.772003,419.721008,426.054016
0.84,372.187988,371.959015,379.893982,364.558014,392.062988,406.751007,410.755981,422.468018,428.876984
0.86,371.92099,371.463013,379.473999,363.757019,393.054993,408.276001,412.777985,424.679993,431.661987
0.88,371.424988,370.471008,378.978027,363.451996,394.009003,410.412994,414.570984,427.04599,434.751984
0.9,371.042999,369.670013,378.291992,363.56601,395.22998,411.938995,416.212006,428.990997,437.459991
0.92,370.96701,368.791992,377.223022,363.414001,396.565002,413.349976,418.003998,431.242004,440.28299
0.94,370.471008,368.335022,376.421997,364.062012,397.289978,414.953003,420.292999,433.64502,443.296997
0.96,369.746002,367.266998,375.391998,364.863007,397.556976,416.516998,422.125,435.781982,446.348999
0.98,369.287994,366.046021,374.628998,365.701996,398.395996,417.928009,423.955994,437.804016,449.401001
1,368.411011,364.863007,374.018982,366.847015,399.349976,419.111023,425.748993,440.169006,451.690002
1.02,367.494995,364.100006,373.027008,368.220001,400.074982,420.751007,427.197998,442.533997,454.284027
1.04,366.656006,364.596008,371.768005,369.670013,400.723022,422.391998,428.761993,444.593994,456.916016
1.06,365.817017,364.062012,370.852997,370.929016,401.333008,423.803009,430.936981,446.424988,459.700989
1.08,364.749023,359.598999,369.365021,372.569,401.867981,424.947998,432.767975,448.904999,462.256989
1.1,363.718994,359.21698,368.028992,374.399994,402.440002,426.244995,434.561005,450.812012,464.621979
1.12,363.070007,359.254974,366.504028,376.078979,402.78302,427.312988,436.087006,452.872986,467.216003
1.14,362.040009,357.233002,365.550018,377.451996,403.661011,428.419006,437.72699,454.894012,469.65799
1.16,360.93399,356.66098,364.825012,379.016022,404.233002,429.830994,439.177002,456.839996,472.21402
1.18,360.132996,355.821991,363.375,380.427979,404.423004,431.165985,440.740997,458.786011,474.846008
1.2,358.682983,353.227997,362.269012,381.800995,404.996002,432.233978,442.420013,460.730988,477.479004
1.22,357.881989,352.923004,360.93399,383.097992,405.682007,433.721985,444.097992,462.294983,480.110992
1.24,356.85199,353.837982,359.941986,384.166016,406.063995,434.980988,446.044006,464.087982,482.589996
1.26,355.707001,351.587006,358.835999,384.968018,406.484009,436.391998,447.721985,466.185974,484.802979
1.28,354.562988,349.26001,357.461975,385.998016,407.056,437.688995,449.209991,468.056,487.244995
1.3,353.686005,348.459015,356.240997,386.988983,407.475006,439.063019,450.812988,469.886993,489.876984
1.32,352.884003,347.352997,355.821991,387.638,407.665985,439.977997,452.071014,472.138,492.20401
