Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,280.012024,281.423004,281.460999,282.33902,281.194,280.355011,280.546021,280.201996,281.118011
0.02,281.614014,282.873016,282.377014,283.903015,282.14801,281.843018,282.03299,281.994995,283.674011
0.04,283.483002,285.200012,283.216003,285.656982,283.863983,283.407013,283.712006,284.016998,286.230011
0.06,285.696014,286.877991,284.855988,287.755981,285.389984,285.389984,285.505005,286.190979,289.166992
0.08,287.90799,288.747009,286.953979,290.197021,287.373993,288.061005,287.794006,288.480011,292.028015
0.1,289.929993,291.036011,289.205017,292.409973,290.27301,290.845978,290.121002,291.417999,295.118011
0.12,292.371002,293.096008,291.188995,295.423004,292.867004,294.126007,292.753021,294.507996,298.360992
0.14,294.927002,295.881012,293.172974,298.016998,295.042023,296.682007,295.5,297.636017,301.602997
0.16,297.216003,298.550995,295.766998,300.381989,297.369019,299.734009,298.666016,300.877991,305.074982
0.18,299.885986,300.915985,298.894989,303.319977,300.230011,302.824005,301.373993,303.625,308.660004
0.2,302.518982,303.548981,301.565002,306.600006,303.434021,305.799011,304.578979,307.249023,312.131989
0.22,304.922028,306.638977,304.616974,309.270996,306.486023,309.576019,307.744995,310.415009,314.802002
0.24,307.477997,309.233002,307.058014,312.016998,309.080017,312.70401,311.063995,313.428986,318.388
0.26,309.881012,311.445007,309.843018,313.886993,311.445007,314.839996,313.772003,316.823975,322.355011
0.28,312.131989,313.962982,312.170013,316.289978,313.580994,317.243988,316.747986,320.10498,325.789001
0.3,313.848999,316.02298,314.649994,319.151001,315.832001,320.981995,320.219025,323.462006,329.221985
0.32,316.213989,318.960022,317.434021,321.669006,319.074982,322.661011,323.38501,326.627991,332.502991
0.34,318.426025,321.287018,320.219025,323.958008,321.669006,327.505005,326.322998,330.02298,336.203003
0.36,320.791016,323.958008,322.890015,326.285004,324.225006,330.328003,329.450989,333.380005,339.522003
0.38,322.737,326.285004,325.178009,328.496979,325.980011,332.159027,332.731995,336.507996,342.725983
0.4,324.796997,328.535004,327.65799,330.060974,327.619995,334.639008,335.631012,339.406982,346.121002
0.42,326.665985,330.138,329.755981,332.349976,329.946991,337.30899,338.300995,342.000977,349.020996
0.44,328.535004,331.701996,331.931,334.29599,332.197998,339.635986,340.819,345.014984,352.111023
0.46,330.175995,333.799988,333.951996,335.554993,334.333984,340.856995,343.604004,347.838013,355.390991
0.48,331.815979,335.173004,335.440002,336.890015,336.203003,343.526978,345.73999,350.165009,358.32901
0.5,333.189026,336.699005,337.157013,338.033997,337.270996,345.931,348.29599,352.567993,360.884979
0.52,334.562988,337.729004,338.567993,338.988007,338.721008,347.876007,350.623016,354.894989,363.860016
