Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,297.558014,292.903992,286.686005,298.73999,300.343018,293.819,293.93399,294.048004,287.945007
0.02,300.076019,294.811005,288.096985,301.028992,303.622986,296.412994,296.946991,296.375,289.927979
0.04,303.088989,296.986023,290.61499,303.929016,307.743011,299.006989,300.152008,298.73999,292.40799
0.06,306.52301,300.53299,293.399994,306.52301,311.52002,301.678009,304.005005,301.869019,295.841003
0.08,310.986023,304.005005,296.490021,310.604004,315.182007,304.957977,308.96402,305.493011,299.540985
0.1,314.419006,307.93399,299.847015,314.877014,320.751984,309.269012,313.313019,309.307007,303.66098
0.12,319.110992,312.434998,304.234009,319.644989,326.436005,313.88501,318.080994,312.931,307.628998
0.14,323.91803,316.898987,308.925995,324.452026,332.119995,318.463013,323.193024,317.242004,311.596008
0.16,329.182007,321.819977,313.580017,329.449005,337.72702,323.72702,328.571991,322.277985,315.411011
0.18,334.446991,326.550018,319.339996,334.904999,343.372986,329.868988,334.446991,327.313019,320.294006
0.2,339.444,332.082001,324.414001,341.541992,348.980988,335.972992,340.511993,332.997009,326.207001
0.22,344.937012,337.460022,330.097992,347.341003,354.588989,341.428009,345.928986,339.139008,332.539001
0.24,349.857971,342.687012,336.277985,352.872009,360.044006,347.341003,351.156006,344.822998,338.528992
0.26,354.703003,347.950989,341.962006,358.556,365.613983,352.261993,356.266998,349.972992,345.089996
0.28,359.815002,352.947998,347.112,363.897003,370.611023,357.412018,361.837006,355.733002,351.194
0.3,364.393005,358.289001,352.376007,369.428009,375.341003,362.904999,367.101013,361.341003,356.800995
0.32,368.627014,363.018982,357.984009,375.265015,379.727997,368.246002,372.022003,366.682007,362.484985
0.34,372.900024,367.520996,362.942993,380.14798,383.924011,373.243011,376.447998,371.450012,367.902008
0.36,377.210999,371.90802,367.483002,384.763977,387.854004,378.011993,380.528992,376.942993,373.319
0.38,380.872986,375.532013,372.442017,389.22699,391.667999,382.283997,384.763977,381.902985,378.774994
0.4,384.496979,379.079987,376.638,393.575989,394.987,386.632996,388.769012,386.938019,383.771973
0.42,387.891998,382.703979,380.682007,397.314026,397.848022,390.981995,392.622009,391.096008,388.731018
0.44,391.019989,386.02301,384.420013,400.632996,401.282013,394.834991,395.826996,395.559998,393.957001
0.46,393.842987,388.654999,388.045013,404.218994,404.334015,398.22998,398.802002,399.679993,398.802002
0.48,396.207977,391.286987,391.325012,407.156006,406.583984,401.395996,402.235016,403.188995,402.884003
0.5,398.039001,394.033997,394.071991,410.169983,408.45401,404.372009,405.286987,406.737,407.041992
0.52,399.90802,396.627991,396.703979,412.916992,410.589996,407.384979,408.14798,410.018005,411.048004
0.54,401.968018,398.42099,398.954987,414.862,412.458984,409.789001,410.970978,413.26001,414.671997
0.56,403.571014,400.061005,401.091003,416.425995,414.138,412.001007,413.641998,416.503021,418.334015
0.58,404.562012,401.587006,403.188995,417.53302,415.931,414.404999,416.236023,419.287994,421.766998
0.6,405.669006,402.617004,404.523987,418.752991,417.188995,416.961029,418.485992,421.881989,424.971985
0.62,406.583984,403.265015,405.631012,419.631012,418.334015,419.555023,421.347992,424.704987,427.947021
0.64,407.384979,404.294983,406.888977,420.54599,419.555023,422.263,423.941986,427.604004,431.53302
0.66,407.575989,405.210999,408.185974,421.30899,420.050995,424.285004,426.42099,430.236023,434.928009
0.68,407.69101,405.973999,408.414978,421.881989,421.537994,426.497009,428.557007,432.601013,438.093994
0.7,407.958008,406.240997,409.063995,422.300995,422.911987,428.481018,431.113007,435.233002,441.375
0.72,407.766998,406.661011,409.177979,422.187012,424.475983,430.541016,433.707001,437.903992,444.808014
0.74,407.729004,406.621979,409.597992,422.149017,426.040009,432.868011,436.492004,440.574005,447.975006
0.76,407.842987,406.278992,409.522003,421.958008,427.679993,435.347992,438.742981,442.786987,451.065002
0.78,407.537994,405.820984,409.10199,421.920013,429.625977,437.484009,441.108002,445.609985,453.963989
0.8,407.346985,405.324982,408.988007,421.575989,431.609009,439.619995,443.435028,448.050995,456.824982
0.82,407.233002,405.097015,409.063995,420.699005,433.097015,442.023987,445.609985,450.949982,459.838989
0.84,406.888977,404.294983,408.492004,419.973999,434.737,444.579987,447.516998,453.696991,463.042999
0.86,405.89801,404.143005,408.071991,419.631012,437.026001,446.257996,449.539001,456.252991,465.941986
0.88,405.248993,403.113007,407.537994,419.097015,438.704987,447.364014,451.294006,458.846985,468.802979
0.9,404.562012,402.692993,407.233002,417.990997,440.497986,448.738007,453.048004,461.020996,471.778992
0.92,403.838013,401.891998,406.316986,417.113007,441.641998,450.531006,454.421997,462.85199,474.067993
0.94,402.997986,400.786011,405.59198,415.854004,442.595978,451.712982,455.756989,464.493011,475.937012
0.96,402.121002,400.403992,404.447998,415.282013,443.396973,452.820007,457.320984,466.17099,478.455017
0.98,401.091003,399.298004,403.34201,415.015015,444.236023,454.306976,458.427002,467.888,480.744019
1,400.403992,398.382996,402.541016,414.519012,444.999023,455.603973,459.686005,469.222992,482.84201
1.02,399.565002,397.237976,401.778015,413.832001,445.53302,456.404999,461.479004,470.673004,484.977997
