Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,321.652008,318.179993,313.906982,316.653992,316.807007,318.675995,315.701019,312.609985,311.580017
0.02,323.406982,319.897003,315.661987,318.791016,319.247986,320.049988,317.187988,314.175018,314.326996
0.04,325.695984,321.842987,318.333008,321.803986,322.453003,322.338989,319.019989,316.386993,318.371002
0.06,328.480988,325.199982,321.575989,325.733978,326.077026,325.046997,321.575989,319.209991,322.949005
0.08,332.181,329.587006,325.35202,330.197021,330.197021,328.632996,324.665985,322.682007,327.90802
0.1,337.141022,334.051025,330.388,335.386017,335.119019,332.714996,328.289978,326.954987,334.08902
0.12,342.023987,339.77301,336.033997,341.604004,340.307007,337.292999,332.296021,331.494995,340.536011
0.14,347.556,346.220001,342.138,348.089996,346.296997,341.908997,336.416016,336.64502,348.052002
0.16,353.812012,353.31601,348.585999,354.957001,352.171997,347.135986,341.184998,342.444,356.177002
0.18,360.755005,360.794006,355.490997,362.128998,358.619019,352.782013,346.143982,348.96698,365.181
0.2,368.041992,368.920013,363.005981,369.605988,365.372009,358.542999,352.209991,355.529022,374.108002
0.22,375.404999,377.350983,370.751007,377.808014,371.894989,364.493988,358.046997,362.738983,383.188019
0.24,382.654022,385.820007,378.915009,385.666992,378.800018,370.674011,364.03598,370.406982,392.877991
0.26,390.511993,394.67099,386.963989,393.90799,385.895996,377.312988,369.872986,378.227997,402.682007
0.28,398.867004,403.674011,395.166992,401.766998,392.83902,383.873993,376.549988,386.049011,412.028992
0.3,406.802002,412.29599,403.483002,409.891998,400.240997,390.511993,383.226013,394.250977,421.833008
0.32,414.85199,421.108978,411.417999,417.712982,407.298004,397.03598,389.825989,402.377014,431.867004
0.34,422.444,429.615997,419.277008,425,414.050995,403.712006,396.196991,410.654999,441.900024
0.36,430.303009,437.665985,426.71701,431.942993,420.384003,410.006989,403.140015,419.125,451.934021
0.38,438.276001,445.410004,434.002991,438.772003,426.755005,416.148987,409.472992,427.403015,461.661987
0.4,445.600983,453.460022,440.90802,445.181,432.47699,422.062012,415.61499,435.03299,471.199005
0.42,452.506012,460.631989,447.546021,451.285004,437.893982,428.166016,422.138977,442.777985,480.737
0.44,459.220001,467.269989,453.153992,456.778992,442.968018,432.972992,427.860992,450.40802,490.045013
0.46,466.31601,473.450012,458.915009,461.623993,447.623016,437.932983,433.010986,457.846985,498.971985
0.48,471.924011,479.248993,464.103027,465.781982,452.163025,442.319977,438.161987,464.828003,507.403015
0.5,478.218994,484.552002,467.957001,469.483002,456.09201,447.050018,443.273987,471.581024,515.872986
0.52,483.978973,489.320007,472.344025,473.069,459.60199,451.056,448.157013,478.06601,523.807983
0.54,489.358978,493.593018,475.891998,476.121002,462.348999,454.528015,452.582001,484.741974,531.247009
0.56,494.317993,497.598999,479.173004,478.714996,465.209991,458.381012,456.434998,490.350983,537.809021
0.58,498.591003,500.917969,481.958008,480.621979,468.338013,461.509003,459.983002,495.309998,544.52301
0.6,503.015991,503.627014,483.789001,482.338989,469.902008,464.141998,463.112,500.154968,550.970947
0.62,506.717041,505.533997,485.733978,483.597992,470.551025,466.23999,466.125,504.504028,556.959961
