Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,340.002014,285.715027,295.061005,304.065002,285.028015,276.024994,267.098022,268.471008,274.231995
0.02,342.748993,291.018005,297.960999,307.307983,287.088013,279.190979,269.119995,270.302002,277.130981
0.04,346.792999,297.998993,301.661011,311.237,289.949005,282.472015,272.095001,272.705994,281.976013
0.06,352.667999,306.77301,307.116974,316.235016,294.070007,285.141998,275.871979,275.03299,286.745026
0.08,360.373993,315.777008,313.984009,323.024994,299.182007,289.720001,279.343994,277.207001,291.666016
0.1,369.721008,326.801971,322.186005,330.998993,305.323975,295.404999,284.914001,281.480011,297.349976
0.12,380.44101,338.895996,331.800018,339.658997,312.19101,301.776001,291.170013,287.317017,304.637024
0.14,391.923981,351.027008,342.557983,349.501007,319.897003,310.473999,297.273987,294.031006,311.541992
0.16,404.016998,363.997986,354.575012,360.450012,328.480988,316.006012,304.484009,301.699982,319.209991
0.18,416.911987,377.618011,366.89801,371.742981,338.056,325.695984,312.725006,309.825012,328.175995
0.2,430.378998,391.541992,379.983002,383.455017,348.279999,336.64502,321.30899,317.494019,338.399994
0.22,443.807983,405.162018,393.144989,395.815002,359.001007,345,330.388,326.306,348.928986
0.24,457.618011,419.315002,406.649994,408.328003,370.368988,354.880005,340.230988,335.309998,359.877991
0.26,471.27597,432.897003,420.536011,420.880005,381.96701,365.447998,349.997009,344.197998,370.789001
0.28,484.703979,446.744995,434.194,433.735992,393.296997,375.939026,360.183014,353.774017,381.509003
0.3,497.941986,460.287994,448.195007,446.669006,404.971008,387.002991,370.751007,363.730988,392.496002
0.32,511.332977,473.412018,462.042999,459.791992,417.483978,398.600006,381.39502,374.451019,403.253998
0.34,524.609009,486.954987,475.51001,472.266998,429.27301,409.81601,391.962006,385.210022,414.584991
0.36,537.122009,500.307983,489.053009,485.199982,441.709015,421.337006,402.757996,395.624023,426.678009
0.38,549.139038,513.050049,502.672974,497.828003,453.382996,432.781982,413.975006,406.192017,438.276001
0.4,561.653015,525.867981,515.911011,510.569977,465.362,443.46402,424.656006,416.835999,449.605988
0.42,573.898987,538.609985,529.263,523.082947,477.570007,454.833008,435.566986,427.556,460.898987
0.44,585.915955,551.123047,542.348999,535.138,489.320007,466.31601,446.096985,438.35199,472.077026
0.46,597.361023,563.179016,554.899963,547.384949,500.917969,476.998016,456.968994,448.920013,482.872986
0.48,608.577026,574.85199,567.870972,559.553955,512.592041,488.213989,467.384003,459.257996,493.364014
0.5,619.602051,586.564026,580.27002,571.380981,523.883972,499.391998,477.303009,468.757996,504.046021
0.52,629.596985,598.353027,592.171997,582.444031,534.986023,509.196991,487.145996,478.295013,515.223999
0.54,640.088989,609.798035,604.457031,593.697998,545.630005,519.611023,496.911987,487.337006,526.096985
0.56,650.313049,620.327026,615.978027,605.028992,556.617004,529.263,506.259033,495.997009,536.054016
0.58,660.307983,630.092957,626.697998,615.940002,567.145996,538.838989,514.957031,504.733032,545.401001
0.6,670.341003,641.004028,637.609009,625.630005,577.256042,548.834045,523.464966,513.889038,554.213013
0.62,679.841003,651.457031,648.749023,635.320007,586.640991,558.333984,532.276978,522.586975,562.721008
0.64,690.026978,661.490967,659.659973,645.735046,596.559998,567.221985,540.327026,531.132996,570.960999
0.66,699.182983,671.333008,670.073975,655.08197,606.020996,576.035034,547.880005,538.685974,578.666992
0.68,708.338989,680.871033,680.450989,664.008972,615.215027,584.237,555.357971,545.439026,586.984009
0.7,717.227966,690.369995,690.179016,672.820984,623.722046,591.790955,561.880981,551.390015,595.338989
0.72,725.772949,699.526001,699.755005,681.901001,631.35199,599.078003,568.213989,556.617004,602.815979
0.74,733.974976,708.720032,709.559998,690.865967,640.012024,606.020996,574.546997,562.148987,609.453979
0.76,742.407043,717.571045,719.05896,698.57196,647.833008,613.384033,580.27002,566.802979,615.558044
0.78,750.647034,726.078003,728.099976,706.507996,655.958984,620.44104,585.496033,572.487,621.51001
0.8,758.429016,734.471008,737.294006,714.748047,663.513,626.506958,590.646057,577.943054,626.23999
0.82,766.020996,742.712036,746.069031,722.339966,670.836975,632.687988,595.796997,583.016968,631.200012
0.84,773.917969,750.723022,754.767029,729.435974,678.429016,638.638977,600.450989,586.984009,636.960022
0.86,780.976013,758.544006,763.197998,736.263977,685.448975,644.285034,605.487,590.951965,643.217041
0.88,787.995972,766.287964,770.981018,743.359985,692.086975,650.084045,609.721008,594.804993,649.092041
0.9,794.938965,773.955994,778.992004,750.189026,698.724976,655.577026,613.72699,598.237976,654.165955
0.92,802.224976,781.090027,786.851013,757.170044,705.630005,660.994995,617.88501,601.252014,659.201965
0.94,808.786987,788.033997,794.671997,763.88501,711.925049,666.526001,622.196045,604.914001,664.161011
0.96,815.006042,795.625977,802.034973,770.52301,718.257996,672.173035,625.667969,608.385986,669.426025
0.98,821.491028,802.531006,809.588013,776.703003,724.514038,677.322998,629.140015,612.200989,674.651978
1,828.395996,809.207031,816.875,782.693054,731.037964,682.626038,632.648987,615.673035,679.726013
1.02,834.919983,815.692017,823.665955,789.063965,737.065979,687.165955,636.807983,618.763,685.296021
1.04,841.099976,822.10199,830.722961,795.359009,742.903015,692.354004,641.156982,622.386963,690.560974
1.06,846.975037,828.662964,837.971985,802.072998,749.121033,697.312988,644.89502,625.286987,695.901978
1.08,852.507019,834.61499,844.609985,808.328979,755.415955,701.585999,648.405029,629.024963,700.860962
1.1,858.11499,840.794983,850.905029,814.700012,761.367004,707.080017,652.220032,632.497009,706.164001
1.12,863.79895,846.746033,856.971008,820.804016,766.937012,711.65802,656.072998,635.929993,711.200012
1.14,868.987976,852.392944,863.455994,827.136963,772.391968,716.045044,659.849976,639.325989,716.388
1.16,874.367004,857.847961,869.713013,832.973999,777.885986,720.623047,663.39801,642.567993,721.805969
1.18,879.708008,863.684998,875.549011,838.697021,783.227051,725.009949,666.603027,645.468018,727.565979
1.2,884.972961,869.063965,881.196045,844.723999,787.995972,729.20697,670.113037,648.787048,732.755005
1.22,889.473999,874.062012,887.376038,850.561035,792.954956,733.669983,673.622009,652.257996,737.218018
1.24,894.166992,879.630981,892.945984,856.513,798.257996,737.638,677.208008,655.615967,741.796021
1.26,898.59198,884.820007,897.485962,862.463989,803.179016,741.833984,680.604004,659.23999,746.450012
1.28,903.474976,889.550964,902.75,867.575989,808.062012,746.182983,684.037048,662.864014,751.028015
1.3,908.205994,894.204956,908.052979,872.802979,812.946045,750.342041,687.203979,666.258972,755.873047
1.32,912.554993,898.744995,912.783997,878.257996,817.791016,754.233032,690.255981,669.502014,760.641968
1.34,916.598999,903.169983,917.514038,883.447021,822.368958,757.781006,693.651001,671.867004,765.219971
1.36,920.795044,907.138,922.130005,888.444031,826.602966,761.557983,696.778992,674.996033,769.873962
1.38,924.915039,911.487,927.394958,893.060059,830.265991,765.640015,699.792969,678.124023,773.957031
