Time,0.1HZ,0.3HZ,0.7HZ,1HZ,3HZ,7HZ,10HZ,15HZ,30HZ
0,297.787018,291.148987,302.708008,296.641998,302.708008,302.05899,302.746002,302.479004,301.066986
0.02,300.227997,293.552002,305.606995,299.618011,306.065002,306.332001,306.828003,306.865997,305.606995
0.04,302.821991,296.223022,308.048004,304.196014,309.651001,310.299011,310.261017,311.32901,310.452026
0.06,305.531006,298.73999,311.863007,307.628998,312.664001,313.733002,314.037994,315.411011,315.640015
0.08,308.125,301.753998,315.487,311.100006,316.212006,317.890991,319.187988,321.018982,321.362
0.1,311.062012,305.035004,318.15799,314.763,320.027008,322.735016,324.032013,326.970001,327.656006
0.12,313.275024,307.93399,321.858002,318.576996,323.956024,327.122009,329.60199,332.845001,333.68399
0.14,315.869019,311.176971,325.901978,322.086975,327.962006,332.386993,334.713989,338.643005,340.092987
0.16,318.730011,313.733002,328.800995,326.703003,331.20401,337.84198,339.749023,344.213013,346.92099
0.18,321.819977,316.708008,331.394989,330.403015,335.171997,341.886017,345.281006,349.743988,353.253998
0.2,324.56601,319.76001,334.561005,334.369995,338.566986,346.691986,349.934998,355.428009,359.852997
0.22,326.932007,322.849976,336.964996,338.757019,341.847015,351.536987,355.466003,361.22702,366.415009
0.24,329.449005,325.710999,339.55899,341.541992,345.127991,355.733002,360.578003,367.139008,372.747009
0.26,331.623993,328.496002,341.80899,344.518005,348.026978,359.930023,365.040985,373.128998,379.194
0.28,333.531006,331.242004,343.71701,348.217987,350.735992,364.468994,370.344025,378.316986,385.374023
0.3,335.934998,333.416992,345.20401,350.735992,353.368011,367.368011,374.731018,383.46698,391.630005
0.32,337.307983,335.399994,346.348999,353.177002,354.894012,370.687012,378.964996,388.425995,398.039001
0.34,338.60498,337.345978,347.378998,355.657013,356.725006,374.959991,382.741974,392.774994,403.609009
0.36,340.207001,339.062988,348.104004,357.488007,358.747009,377.630005,386.480011,397.428986,408.91098
0.38,341.237,340.511993,348.751984,358.289001,359.930023,379.957001,389.188995,400.899994,414.252014
0.4,342.114014,341.428009,348.446991,359.394989,360.540009,382.474976,392.316986,404.981995,418.981995
0.42,342.877014,342.458008,348.255981,360.424988,361.645996,384.039001,395.139984,407.804993,423.635986
0.44,342.95401,342.838989,348.141998,360.235016,361.494019,385.107025,397.237976,410.552002,428.21402
0.46,343.334991,343.029999,347.341003,360.960022,361.341003,386.328003,399.031006,413.641998,431.953003
0.48,343.412018,343.029999,346.769012,360.92099,361.875,387.434021,400.899994,415.511017,435.806
0.5,343.296997,342.95401,345.928986,360.082001,361.112,387.929993,401.778015,417.228027,439.277008
0.52,342.687012,342.571991,344.251007,358.976013,360.540009,388.121002,402.503021,418.372009,441.680023
0.54,341.924011,341.924011,342.992004,358.251007,359.968018,388.196991,403.188995,419.631012,444.160004
0.56,341.274994,341.274994,341.541992,356.344025,358.900024,387.968018,402.884003,420.356018,446.983002
0.58,340.588989,339.940002,339.710999,355.313995,357.830994,387.51001,403.075012,420.85202,448.738007
0.6,339.406006,339.024994,338.223022,353.710999,357.221008,387.128998,402.730988,421.653015,450.682983
0.62,338.375977,338.147003,336.23999,351.651001,356.420013,386.557007,402.654999,421.958008,452.095001
0.64,337.155029,336.582977,334.52298,349.514984,355.428009,386.098999,402.541016,422.529999,453.315002
0.66,335.705994,335.056976,332.806,347.608002,354.665009,385.298004,402.541016,422.796997,454.459991
0.68,334.255981,333.835999,330.785004,345.014008,353.825989,384.840027,402.388,423.10199,455.909027
0.7,332.92099,331.890991,329.144012,343.412018,352.910004,383.924011,402.158997,423.826996,457.130005
0.72,331.394989,330.022003,326.817017,341.123016,352.453003,384.000977,402.57901,424.169983,458.274994
0.74,329.983002,328.838989,324.56601,338.643005,351.269989,384.000977,402.425995,425.01001,459.761993
0.76,328.381012,326.817017,322.811981,336.315979,350.582977,384.306,402.921997,425.963013,460.983002
0.78,326.817017,325.177002,321.399994,333.912994,350.393005,384.572998,403.493988,426.574005,462.088989
0.8,325.482025,323.574982,319.264008,331.432983,349.667999,384.763977,403.838013,427.794006,464.339996
0.82,323.91803,321.552979,317.471008,329.411011,349.018982,384.802002,404.677002,428.901001,465.903992
0.84,322.468018,320.140991,316.287994,327.656006,348.904999,385.602997,405.707001,430.083008,467.238983
0.86,320.980988,318.806,314.533997,325.863983,348.371002,386.251984,406.127014,431.647003,468.880005
0.88,319.377991,316.821991,313.084015,324.452026,348.293976,386.862,407.424011,432.792023,470.673004
0.9,317.890991,315.257996,312.359009,323.040985,348.484985,387.739014,408.414978,434.165009,472.160004
0.92,316.670013,314.037994,310.871002,321.972015,348.484985,388.27301,409.522003,435.118988,474.449005
0.94,315.106018,312.893005,309.612976,321.514984,348.867004,389.188995,409.940979,436.300995,475.746002
0.96,314.076019,312.167999,308.658997,322.125,349.096008,390.06601,411.505005,437.597992,477.196014
0.98,312.740997,310.414001,306.980011,323.116974,349.552979,390.523987,412.230011,438.514008,478.76001
1,312.321014,309.460022,306.065002,324.947998,350.126007,391.515991,412.612,439.619995,480.324005
1.02,311.444,308.277008,305.302002,327.237,351.078979,392.393005,413.756012,440.955017,481.583008
1.04,310.299011,306.980011,304.118988,329.526001,351.765991,393.156006,414.252014,441.565979,483.414001
1.06,309.384003,306.294006,303.471008,331.890991,352.223999,393.270996,414.824005,442.404999,484.55899
1.08,308.429993,305.302002,302.89798,334.713989,353.024994,394.071991,416.158997,443.244019,485.665009
1.1,307.324005,304.309998,302.05899,338.414001,353.291992,395.216003,416.999023,444.121979,486.503998
1.12,306.751007,303.20401,300.83902,341.962006,353.787994,396.245972,417.684998,445.113983,487.83902
1.14,305.415985,302.746002,300.723999,345.356995,354.39801,397.542999,418.525024,446.182007,489.136017
1.16,304.881989,301.411011,300.343018,348.600006,354.703003,398.268005,419.326019,446.524994,490.433014
1.18,304.423981,301.257996,300.265991,351.040985,354.894012,399.18399,420.08902,447.746002,491.348999
1.2,303.242004,300.494995,301.106018,353.520996,355.503998,399.794006,421.386017,449.347992,492.875
1.22,302.363983,299.656006,301.640015,355.733002,355.848022,400.97699,422.416016,450.721008,494.362
1.24,302.174011,299.313019,302.516998,358.059998,356.572998,402.007019,423.522003,452.018005,495.812012
1.26,301.411011,298.397003,304.652985,359.777008,356.992004,403.532013,425.199982,453.543976,496.994995
1.28,300.723999,297.52002,307.057007,361.149994,357.830994,405.13501,426.307007,454.764984,498.329987
1.3,300.572021,296.833008,309.536011,362.028015,358.671021,405.820984,427.641998,456.023987,499.970001
1.32,299.960999,296.946991,312.626007,362.446991,359.243011,406.774994,429.015015,457.549988,501.343018
1.34,299.389008,295.916992,315.869019,362.751984,360.119995,408.14798,429.969025,459.457001,503.135986
1.36,299.046021,295.498016,319.187988,362.484985,360.540009,408.988007,431.075012,460.830994,504.890991
1.38,298.397003,295.269012,323.383972,362.257019,361.265015,410.398987,432.410004,462.013,507.103973
1.4,297.97699,294.735016,327.389008,361.645996,361.799011,411.428986,433.364014,463.730011,508.476959
1.42,297.634003,294.200989,330.708008,360.807007,362.524017,412.115997,434.279999,464.606995,509.774017
1.44,296.871002,293.93399,334.865997,359.319,362.791016,412.687988,435.080994,465.941986,511.261993
1.46,296.946991,293.666992,338.223022,357.450012,363.554016,413.794006,436.377991,466.971985,512.788025
1.48,296.490021,293.208984,341.390015,356.115021,363.667999,414.404999,436.950012,467.850006,514.314026
1.5,296.032013,292.828003,344.556,354.360016,363.59201,415.358002,437.559998,468.880005,515.458008
1.52,295.803009,292.636993,346.882996,352.757996,363.897003,416.425995,438.132996,470.061981,517.403992
1.54,295.421997,292.102997,349.096008,351.078979,364.23999,417.113007,438.93399,470.824982,518.853027
1.56,295.115997,291.606995,351.078979,348.446991,364.316986,417.304016,439.238983,472.199005,520.264954
1.58,294.811005,291.606995,352.299988,346.234009,365.156006,418.218994,439.696991,473.229004,521.485962
1.6,294.735016,291.415985,353.710999,344.097992,365.727997,419.059021,440.841003,474.067993,523.087952
1.62,294.582001,291.186981,354.665009,341.733002,366.03299,420.08902,441.145996,475.594025,524.346985
1.64,293.743011,290.919983,355.084991,339.596985,367.177979,420.774994,442.176025,476.357025,525.300049
1.66,293.704987,290.728973,355.274994,337.651001,368.169006,421.766998,442.786987,477.539001,526.864014
1.68,293.743011,290.728973,354.932007,335.438995,368.436981,422.263,443.549988,478.493011,528.161011
1.7,292.751007,290.232971,354.244995,333.072998,369.237976,423.026001,444.427002,479.828003,529.534973
1.72,292.941986,290.118988,353.444,331.20401,370.039001,424.093994,445.915009,480.895996,530.755005
1.74,292.598999,290.156982,352.414001,328.95401,370.649017,425.277008,446.945007,482.384003,532.091003
1.76,292.292999,289.509003,351.345978,326.703003,371.297974,426.574005,447.670013,483.222992,533.388
1.78,292.445984,289.698975,349.859009,325.138977,371.71701,427.298981,448.661011,484.062988,534.646973
1.8,292.255005,289.509003,348.446991,323.689026,372.328003,427.832977,449.768005,485.511993,535.714966
