KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.1,2.929531728,1.272217115,5.97846455,5.383,0,0,7,7,1,1,7,5,0,0.103072394,5.37E-07
0.1,3.117232294,1.187768243,6,5.383,0,0,7,7,1,1,7,5,0,0.103072394,5.41E-07
0.1,3.118698801,1.18908019,6,5.383,0,0,7,7,1,1,7,5,0,0.103072394,5.41E-07
0.1,2.974017017,1.252320865,5.98341686,5.383,0,0,7,7,1,1,7,5,0,0.103072394,5.38E-07
0.1,3.096516691,1.199532278,5.997462086,5.383,0,0,7,7,1,1,7,5,0,0.103072394,5.40E-07
0.1,3.153763382,1.193139741,6,5.383,0,0,7,7,1,1,7,5,0,0.103048996,5.40E-07
0.1,3.161125628,1.194990838,6,5.383,0,0,7,7,1,1,7,5,0,0.103048996,5.40E-07
0.1,3.027441663,1.176700033,6,5.383,0,0,7,7,1,1,7,5,0,0.103125262,5.43E-07
0.1,3.025682746,1.175234755,6,5.383,0,0,7,7,1,1,7,5,0,0.103125262,5.43E-07
0.1,3.024785042,1.174612294,6,5.383,0,0,7,7,1,1,7,5,0,0.103125262,5.43E-07
0.1,2.95548027,1.190702467,5.995342038,5.383,0,0,7,7,1,1,7,5,0,0.103142753,5.44E-07
0.1,2.991929864,1.171995652,6,5.383,0,0,7,7,1,1,7,5,0,0.103142753,5.45E-07
0.1,2.810855028,1.172809733,5.994662126,5.383,0,0,7,7,1,1,7,5,0,0.103219468,5.53E-07
0.1,2.848945308,1.154725147,6,5.383,0,0,7,7,1,1,7,5,0,0.103219468,5.54E-07
0.1,2.849338597,1.153131179,6,5.383,0,0,7,7,1,1,7,5,0,0.103219468,5.54E-07
0.1,2.515953594,1.109786157,6,5.383,0,0,7,7,1,1,7,5,0,0.103404162,5.99E-07
0.1,3.899413036,0.94842968,6.067993291,5.383,0,0,7,7,1,1,7,5,0,0.103049524,5.60E-07
0.1,3.160795463,1.194875846,6,5.383,0,0,7,7,1,1,7,5,0,0.103049524,5.40E-07
0.1,2.36503301,1.550149499,5.906121134,5.383,0,0,7,7,1,1,7,5,0,0.103106955,5.32E-07
0.1,3.053163666,1.180447691,6,5.383,0,0,7,7,1,1,7,5,0,0.103106955,5.42E-07
0.1,2.785318868,1.141590494,5.996286059,5.383,0,0,7,7,1,1,7,5,0,0.103208163,5.54E-07
0.1,2.864885788,1.15614805,5.999397022,5.383,0,0,7,7,1,1,7,5,0,0.103208163,5.53E-07
0.1,2.83868159,1.408092798,5.952133463,5.383,0,0,7,7,1,1,7,5,0,0.102992588,5.35E-07
0.1,3.252420724,1.209819212,6,5.383,0,0,7,7,1,1,7,5,0,0.102992588,5.41E-07
0.1,3.234401705,1.203667988,5.999885631,5.383,0,0,7,7,1,1,7,5,0,0.103001997,5.40E-07
0.1,2.776645324,1.144797159,6,5.383,0,0,7,7,1,1,7,5,0,0.103253657,5.60E-07
0.1,2.786148109,1.146903513,6,5.383,0,0,7,7,1,1,7,5,0,0.103253657,5.60E-07
0.1,2.785144547,1.144728025,6,5.383,0,0,7,7,1,1,7,5,0,0.103253657,5.60E-07
0.1,2.781413745,1.147080768,5.999491128,5.383,0,0,7,7,1,1,7,5,0,0.103253657,5.60E-07
0.1,2.788242246,1.143911054,6.000625845,5.383,0,0,7,7,1,1,7,5,0,0.103253657,5.61E-07
0.1,3.250205047,1.208955643,6,5.383,0,0,7,7,1,1,7,5,0,0.102993377,5.41E-07
0.1,2.763094846,1.143888128,6,5.383,0,0,7,7,1,1,7,5,0,0.10326552,5.63E-07
0.1,2.794056616,1.144785194,6,5.383,0,0,7,7,1,1,7,5,0,0.10323452,5.57E-07
0.1,2.412913411,1.425777376,5.930476156,5.383,0,0,7,7,1,1,7,5,0,0.103183954,5.40E-07
0.1,3.09949738,1.185719856,6,5.383,0,0,7,7,1,1,7,5,0,0.103087177,5.41E-07
0.1,3.098466647,1.185409441,6,5.383,0,0,7,7,1,1,7,5,0,0.103087177,5.41E-07
0.1,3.102227233,1.184825647,6,5.383,0,0,7,7,1,1,7,5,0,0.103087177,5.41E-07
0.1,2.297581439,1.087328606,6,5.383,0,0,7,7,1,1,7,5,0,0.103534142,6.48E-07
0.1,2.908499813,1.160609822,6,5.383,0,0,7,7,1,1,7,5,0,0.10318929,5.50E-07
0.1,3.144008711,0.635803718,6.160232574,5.383,0,0,7,7,1,1,7,5,0,0.103759741,8.50E-07
0.1,2.339808245,1.09089423,6,5.383,0,0,7,7,1,1,7,5,0,0.103510444,6.37E-07
0.1,2.549296691,1.110213383,6,5.383,0,0,7,7,1,1,7,5,0,0.103370696,5.89E-07
0.1,2.848659402,1.155622496,5.999289218,5.383,0,0,7,7,1,1,7,5,0,0.103218042,5.54E-07
0.1,3.082312631,1.191275287,5.998625153,5.383,0,0,7,7,1,1,7,5,0,0.103089525,5.40E-07
0.1,2.337620331,1.1357543,5.988381495,5.383,0,0,7,7,1,1,7,5,0,0.103464088,6.16E-07
0.1,1.925448451,0.805945389,6.077681695,5.383,0,0,7,7,1,1,7,5,0,0.104242613,1.06E-06
0.1,1.766064568,1.022990264,6,5.383,0,0,7,7,1,1,7,5,0,0.103990068,8.87E-07
0.1,2.129642892,1.067286349,6,5.383,0,0,7,7,1,1,7,5,0,0.103655666,7.03E-07
0.1,3.414327634,0.939194909,6.06184909,5.383,0,0,7,7,1,1,7,5,0,0.103221508,5.75E-07
0.1,2.611446958,1.122767438,6,5.383,0,0,7,7,1,1,7,5,0,0.103349767,5.83E-07
0.1,2.550942288,1.1499816,5.992105454,5.383,0,0,7,7,1,1,7,5,0,0.103349767,5.81E-07
0.1,3.016114831,1.192338406,5.996551055,5.383,0,0,7,7,1,1,7,5,0,0.103107884,5.42E-07
0.1,3.028234456,1.17663115,6,5.383,0,0,7,7,1,1,7,5,0,0.103122699,5.43E-07
0.1,2.869413076,1.154738585,6,5.383,0,0,7,7,1,1,7,5,0,0.103207754,5.53E-07
0.1,2.870939829,1.15707185,6,5.383,0,0,7,7,1,1,7,5,0,0.103207754,5.53E-07
0.1,2.871023102,1.155396058,6,5.383,0,0,7,7,1,1,7,5,0,0.103207754,5.53E-07
0.1,2.823293035,1.145640505,6,5.383,0,0,7,7,1,1,7,5,0,0.103219551,5.54E-07
0.1,3.11323069,1.207723433,5.996080628,5.383,0,0,7,7,1,1,7,5,0,0.103050977,5.40E-07
0.1,3.134356476,1.200100821,5.998133205,5.383,0,0,7,7,1,1,7,5,0,0.103050977,5.40E-07
0.1,2.58611379,1.118712334,6,5.383,0,0,7,7,1,1,7,5,0,0.103350655,5.83E-07
0.1,2.605429498,1.122101044,6,5.383,0,0,7,7,1,1,7,5,0,0.103350655,5.83E-07
0.1,2.401102384,1.271653802,5.960510052,5.383,0,0,7,7,1,1,7,5,0,0.103314674,5.67E-07
0.1,2.922849226,1.164709421,6,5.383,0,0,7,7,1,1,7,5,0,0.103178814,5.49E-07
0.1,2.316201825,1.096509916,6,5.383,0,0,7,7,1,1,7,5,0,0.103524563,6.44E-07
0.1,2.840722756,1.151706836,6,5.383,0,0,7,7,1,1,7,5,0,0.103223987,5.55E-07
0.1,3.167406224,1.196561692,6,5.383,0,0,7,7,1,1,7,5,0,0.103043843,5.40E-07
0.1,2.919953483,1.263138174,5.979981119,5.383,0,0,7,7,1,1,7,5,0,0.103091196,5.37E-07
0.1,3.094308862,1.184182149,6,5.383,0,0,7,7,1,1,7,5,0,0.103091196,5.41E-07
0.1,2.974470064,1.170917126,6,5.383,0,0,7,7,1,1,7,5,0,0.103152029,5.46E-07
0.1,2.972298361,1.169053265,6,5.383,0,0,7,7,1,1,7,5,0,0.103152029,5.46E-07
0.1,3.056657905,1.134895695,6.009491107,5.383,0,0,7,7,1,1,7,5,0,0.103152029,5.48E-07
0.1,3.135795387,1.193173846,6,5.383,0,0,7,7,1,1,7,5,0,0.103061447,5.41E-07
0.1,3.134209702,1.193562129,6,5.383,0,0,7,7,1,1,7,5,0,0.103061447,5.41E-07
0.1,3.137895157,1.192994409,6,5.383,0,0,7,7,1,1,7,5,0,0.103061447,5.41E-07
0.1,3.194030997,1.20153311,6,5.383,0,0,7,7,1,1,7,5,0,0.103027552,5.40E-07
0.1,3.197261819,1.203052123,6,5.383,0,0,7,7,1,1,7,5,0,0.103027552,5.40E-07
0.1,2.926782608,1.320416192,5.969682957,5.383,0,0,7,7,1,1,7,5,0,0.103027552,5.36E-07
0.1,2.781961529,1.141437376,6,5.383,0,0,7,7,1,1,7,5,0,0.103253151,5.60E-07
0.1,3.349975596,1.228670673,6,5.383,0,0,7,7,1,1,7,5,0,0.102929351,5.44E-07
0.1,3.606528079,0.960628617,6.058781304,5.383,0,0,7,7,1,1,7,5,0,0.103129306,5.61E-07
0.1,3.069666815,1.199336512,5.997058349,5.383,0,0,7,7,1,1,7,5,0,0.103089968,5.40E-07
0.1,3.095268156,1.18436769,6,5.383,0,0,7,7,1,1,7,5,0,0.103089968,5.41E-07
0.1,2.910738954,1.161693525,6,5.383,0,0,7,7,1,1,7,5,0,0.103183904,5.50E-07
0.1,2.748603997,1.140511565,6,5.383,0,0,7,7,1,1,7,5,0,0.10327218,5.64E-07
0.1,2.748503347,1.139921679,6,5.383,0,0,7,7,1,1,7,5,0,0.10327218,5.64E-07
0.1,2.90444565,1.162187895,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,2.700430782,1.2728058,5.970591155,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.43E-07
0.1,2.932977043,1.16393281,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
0.1,2.931037049,1.165553785,6,5.383,0,0,7,7,1,1,7,5,0,0.103176252,5.48E-07
