KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,
0.3,0.35373951,0.781773909,6.000649941,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.397272625,0.628701984,6.095770438,5.383,0,0,7,7,1,1,7,5,0,0.3,2.58E-05
0.3,0.407449423,0.604093176,6.113428344,5.383,0,0,7,7,1,1,7,5,0,0.3,2.57E-05
0.3,0.35339357,0.779435785,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.354444476,0.771382867,6.00629504,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.364059359,0.733351671,6.027299892,5.383,0,0,7,7,1,1,7,5,0,0.3,2.60E-05
0.3,0.800398943,0.259503604,6.483426924,5.383,0,0,7,7,1,1,7,5,0,0.3,2.70E-05
0.3,0.359996011,0.752093884,6.016175271,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.35393456,0.77773052,6.003921432,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.355720856,0.765421608,6.008998117,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353048487,0.780919592,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.355772524,0.770119931,6.00546045,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.353873216,0.780076776,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353440559,0.779908956,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353932687,0.778746369,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353243537,0.780858424,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.35363741,0.779345577,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.355922998,0.771904283,6.004707445,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.355846955,0.761263871,6.009970621,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.352135206,0.7793404,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353163399,0.78073266,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.35263412,0.776789469,6,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.459829311,0.495611287,6.200390248,5.383,0,0,7,7,1,1,7,5,0,0.3,2.56E-05
0.3,0.35496202,0.772035185,6.005765097,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.361112019,0.755951202,6.013937337,5.383,0,0,7,7,1,1,7,5,0,0.3,2.61E-05
0.3,0.504653646,0.435272561,6.258550823,5.383,0,0,7,7,1,1,7,5,0,0.3,2.56E-05
0.3,0.353368201,0.776257585,6.00225723,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
0.3,0.353374385,0.777159585,6.001658528,5.383,0,0,7,7,1,1,7,5,0,0.3,2.62E-05
