,Group.1,Group.2,KAach,KEach,DVach,freq,test_freq,SS,tissue,var
1,0.1,1,2.889178344,1.164314643,5.999687606,0.1,0.103202786,5.69E-07,1,mean
2,0.1,2,2.072446492,1.524198384,6.016379674,0.1,0.103350157,8.32E-07,2,mean
3,0.1,5,2.979938097,1.39394811,6.003400173,0.1,0.099272712,1.69E-07,5,mean
4,0.1,7,2.921542887,1.009914906,5.996258503,0.1,0.09989809,5.09E-08,7,mean
5,0.3,1,0.839763681,0.725447382,6.044733354,0.3,0.3,2.61E-05,1,mean
6,0.3,2,2.88382758,0.689323149,6.26417444,0.3,0.3,4.74E-06,2,mean
7,0.3,5,0.312900154,0.736162735,6.032787824,0.3,0.3,1.90E-05,5,mean
8,0.3,7,0.301067725,0.676892281,6.001183777,0.3,0.3,1.57E-05,7,mean
9,0.7,1,18.89906071,0.746050648,6.372378012,0.7,0.7,1.82E-05,1,mean
10,0.7,2,21.88731992,0.554337296,6.627544991,0.7,0.7,1.27E-05,2,mean
11,0.7,5,6.504154683,0.818435261,6.416845903,0.7,0.7,5.10E-06,5,mean
12,0.7,7,0.42691995,0.706008834,6.00696654,0.7,0.7,7.37E-06,7,mean
13,1,1,3.361303012,0.738226086,6.348399486,1,1,2.68E-05,1,mean
14,1,2,16.89477806,0.671542695,6.657909,1,1,1.45E-05,2,mean
15,1,5,11.25598444,0.846274618,6.328913307,1,1,3.72E-05,5,mean
16,1,7,0.338371443,0.667415334,6.009843881,1,1,8.67E-06,7,mean
17,3,1,21.42319362,0.500122407,6.987249667,3,3,0.000186163,1,mean
18,3,2,19.63855684,0.433525954,7.131969125,3,3,6.74E-05,2,mean
19,3,5,19.11856978,0.580178461,6.832694182,3,3,0.000214349,5,mean
20,3,7,2.19027544,1.187835591,6.147780689,3,3,8.58E-05,7,mean
21,7,1,23.60196291,0.462610098,7.205535292,7,7,0.000206137,1,mean
22,7,2,21.20224546,0.529603493,7.128612608,7,7,0.000317978,2,mean
23,7,5,20.34132508,0.816584097,6.807206803,7,7,0.000647828,5,mean
24,7,7,0.222368922,1.346653648,6.192855734,7,7,1.12E-05,7,mean
25,10,1,14.81587472,0.590559339,7.161455479,10,10,0.00017468,1,mean
26,10,2,18.03342623,0.505528405,7.102889752,10,10,0.000467723,2,mean
27,10,5,4.605967752,1.464823189,6.402275279,10,10,0.001177718,5,mean
28,10,7,0.307600064,1.469946688,6.285958944,10,10,2.47E-05,7,mean
29,15,1,30.01374756,0.800839425,7.041073092,15,15,0.001427567,1,mean
30,15,2,3.634832025,1.610190809,6.467043995,15,15,0.000488765,2,mean
31,15,5,5.000566735,1.668764371,6.354931579,15,15,0.001652044,5,mean
32,15,7,0.209074944,1.51230037,6.239057656,15,15,5.40E-05,7,mean
33,30,1,25.44049028,0.551050311,7.477493914,30,30,0.000307144,1,mean
34,30,2,0.89490719,1.884646957,6.28506557,30,30,0.000531126,2,mean
35,30,5,1.673192568,1.674446425,6.210562505,30,30,0.003431151,5,mean
36,30,7,0.19904984,1.455324113,6.188744224,30,30,9.02E-05,7,mean
37,0.1,1,2.932082663,1.170855732,6,0.1,0.103152029,5.46E-07,1,median
38,0.1,2,1.953568512,1.583311107,6,0.1,0.10330196,8.24E-07,2,median
39,0.1,5,3.022798896,1.422257513,6,0.1,0.099217599,1.55E-07,5,median
40,0.1,7,3.085106863,1.009779586,6,0.1,0.099830774,3.67E-08,7,median
41,0.3,1,0.354287186,0.777860309,6.002308803,0.3,0.3,2.62E-05,1,median
42,0.3,2,0.183972429,0.933139374,6.005400633,0.3,0.3,4.24E-06,2,median
43,0.3,5,0.296527786,0.777136016,6,0.3,0.3,1.90E-05,5,median
44,0.3,7,0.300501365,0.677486536,6,0.3,0.3,1.57E-05,7,median
45,0.7,1,1.107900673,0.693266971,6.252131922,0.7,0.7,1.45E-05,1,median
46,0.7,2,19.28984231,0.338595249,6.628976824,0.7,0.7,6.76E-06,2,median
47,0.7,5,0.338302175,1.06648144,6.097366067,0.7,0.7,3.10E-06,5,median
48,0.7,7,0.418806938,0.71511212,6,0.7,0.7,7.37E-06,7,median
49,1,1,1.177829574,1.004458921,6.06978484,1,1,1.25E-05,1,median
50,1,2,2.933404137,0.329750708,6.727041853,1,1,7.38E-06,2,median
