,Tissue,KAach,KEach,DVach,EC50ach,m2max,chemax,IC50m2,IC50che,KAunk,KEunk,DVunk,EC50unk,MAXunk,test_freq,SS,Capsaicin,Complex
1,1,0.67565291,0.777361369,5.643887398,5.383,0.5,0.5,7,7,1,1,7,5,1,2.879361843,0.002316323,1,0
2,2,0.679930496,1.098718506,6.01747014,5.383,0.5,0.5,7,7,1,1,7,5,1,2.880683647,0.00093044,1,0
3,5,0.744854,0.680322967,5.863861316,5.383,0.5,0.5,7,7,1,1,7,5,1,2.88078834,0.001848926,1,0
4,7,0.642620722,0.766818731,5.819760288,5.383,0.5,0.5,7,7,1,1,7,5,1,2.879317104,0.00144103,1,0
5,1,2.693857226,1.177496254,6.286466938,5.383,0.5,0.5,7,7,1,1,7,5,1,2.880623962,0.003834694,0,0
6,2,2.377514513,1.049733039,6.372709793,5.383,0.5,0.5,7,7,1,1,7,5,1,2.880713604,0.004163677,0,0
7,5,3.391514902,1.19822682,6.209934877,5.383,0.5,0.5,7,7,1,1,7,5,1,2.879849252,0.00711427,0,0
8,7,0.822804309,0.942101213,6.101686237,5.383,0.5,0.5,7,7,1,1,7,5,1,2.879967333,0.002425446,0,0
9,1,2.981647528,1.230110247,5.815652935,5.383,0.982538722,0.763972247,6.563072413,6.864903711,1,1,7,5,1,3.575,0.001856149,1,1
10,2,2.734259042,1.209777753,6.048085899,5.383,0.982984505,0.756974704,6.542778365,5.523129235,1,1,7,5,1,3.575,0.000493792,1,1
11,5,3.317024911,1.024961148,6.008596113,5.383,0.987836686,0.73461396,6.744302278,7.652794939,1,1,7,5,1,3.575,0.001117185,1,1
12,7,2.283818431,0.879270311,5.779668659,5.383,0.977602215,0.22960106,6.241786981,3.105262973,1,1,7,5,1,3.575,0.00108403,1,1
13,1,2.880513352,1.199582571,6.026525435,5.383,0.946102215,0.273204569,6.610905582,4.077486674,1,1,7,5,1,3.575,0.004757018,0,1
14,2,2.420775095,0.912618565,6.230172749,5.383,0.986266473,0.214192009,6.575455983,3.922627686,1,1,7,5,1,3.575,0.005423499,0,1
15,5,2.871531521,1.379162889,6.024390733,5.383,0.750021228,0.37403156,4.822306573,5.351552034,1,1,7,5,1,3.575,0.00900857,0,1
16,7,2.663717231,1.103051297,5.966813646,5.383,0.972687502,0.349930251,6.499351185,4.371596398,1,1,7,5,1,3.575,0.004132879,0,1
